y2_hhid,hc_seq_5m,res03_crav6190l_silr_cer
0104038003110801,4974902,6
0105009003011401,4974910,5
0105009003034701,4974910,5
0105009003039601,4974910,5
0105009003046001,4974910,5
0105009003059901,4974910,5
0105009003069301,4974910,5
0105009003076801,4974910,5
0105009003105701,4974910,5
0105010004015101,4974911,3
0105010004015105,4974911,3
0105010004016601,4974911,3
0105010004027201,4974911,3
0105010004033501,4974911,3
0105010004040301,4974911,3
0105010004048001,4974911,3
0105010004051701,4974911,3
0105010004069201,4974911,3
0105029002016101,4979226,4
0105029002022401,4979226,4
0105029002032201,4979226,4
0105029002055701,4979226,4
0105029002064901,4979226,4
0105029002069001,4979226,4
0105029002069101,4979226,4
0105029002123801,4979226,4
0201010001014801,4832351,4
0201010001026301,4832351,4
0201010001029701,4832351,4
0201010001033601,4832351,4
0201010001051101,4832351,4
0201010001055801,4832351,4
0201010001065601,4832351,4
0201010001078501,4832351,4
0201011001004801,4823711,3
0201011001020601,4823711,3
0201011001020901,4823711,3
0201011001024601,4823711,3
0201011001024604,4823711,3
0201011001025901,4823711,3
0201011001030001,4823711,3
0201011001030401,4823711,3
0201011001030402,4823711,3
0201011001030409,4823711,3
0201011001030501,4823711,3
0202011303000601,4841002,4
0202011303000602,4841002,4
0202011303005501,4841002,4
0202011303008601,4841002,4
0202011303009001,4841002,4
0202011303011601,4841002,4
0202011303015501,4841002,4
0202011303015801,4841002,4
0202011303019301,4841002,4
0202011303019305,5000866,4
0202012001005901,4841002,4
0202012001018501,4841002,4
0202012001021401,4841002,4
0202012001021601,4841002,4
0202012001021701,4841002,4
0202012001022301,4841002,4
0202012001049801,4841002,4
0202012001058601,4841002,4
0202024305008801,4840999,3
0202024305014801,4840999,3
0202024305017601,4840999,3
0202024305017608,4841002,4
0202024305017609,4840999,3
0202024305021701,4840999,3
0202024305028301,4840999,3
0202024305029701,4840999,3
0202024305031701,4840999,3
0202024305033601,4840999,3
0203009002004401,4845320,3
0203009002011501,4845320,3
0203009002019301,4845320,3
0203009002031701,4845320,3
0203009002048301,4845320,3
0203009002062801,4845320,3
0203009002068501,4845320,3
0203009002115601,4845320,3
0203010357000301,4841000,3
0203010357000401,4841000,3
0203010357003801,4841000,3
0203010357003901,4841000,3
0203010357006001,4841000,3
0203010357007801,4841000,3
0203010357008301,4841000,3
0203010357012401,4841000,3
0203013019000101,4841000,3
0203013019000801,4841000,3
0203013019004401,5018132,4
0203013019006801,4841000,3
0203013019010101,4841000,3
0203013019015301,4841000,3
0203013019015501,4841000,3
0203013019022901,4841000,3
0203014016000601,4841000,3
0203014016005001,4849643,5
0203014016005002,4841000,3
0203014016005401,4841000,3
0203014016005501,4841000,3
0203014016008601,4841000,3
0203014016009001,4841000,3
0203014016009101,4841000,3
0203014016011401,4841000,3
0204001001003601,4840989,5
0204001001022501,4840989,5
0204001001029601,4840989,5
0204001001029605,4840988,4
0204001001030101,4840989,5
0204001001032701,4840989,5
0204001001058501,4840989,5
0204001001072901,4840989,5
0204001002017801,4840988,4
0204001002027901,4840988,4
0204001002031201,4840988,4
0204001002041601,4840988,4
0204001002044801,4840988,4
0204001002055401,4840988,4
0204001002079201,4840988,4
0204001002080001,4840988,4
0205002007002801,4776188,4
0205002007004201,4776188,4
0205002007004401,4776188,4
0205002007011501,4776188,4
0205002007012401,4776188,4
0205002007017501,4776188,4
0205002007017503,4776188,4
0205002007035501,4776188,4
0205010001008001,4832344,4
0205010001008301,4832344,4
0205010001011101,4832344,4
0205010001012601,4832344,4
0205010001016201,4832344,4
0205010001026101,4832344,4
0205010001029301,4832344,4
0205010001030701,4832344,4
0205010001030704,4832344,4
0301006003002801,4832371,4
0301006003004401,4832371,4
0301006003011201,4832371,4
0301006003011501,4832371,4
0301006003017501,4832371,4
0301006003019301,4832371,4
0301006003031701,4832371,4
0301006003041901,4832371,4
0301012002009701,4828051,4
0301012002022501,4828051,4
0301012002036801,4828051,4
0301012002040401,4828051,4
0301012002040403,5018150,4
0301012002067601,4828051,4
0301012002070901,4828051,4
0301012002079401,4828051,4
0301012002087001,4828051,4
0301014002014801,4828051,4
0301014002026301,4828051,4
0301014002029701,4828051,4
0301014002033601,4828051,4
0301014002051101,4828051,4
0301014002055801,4828051,4
0301014002065602,4828051,4
0301014002078501,4828051,4
0302004003002801,4853971,5
0302004003014601,4853971,5
0302004003031501,4853971,5
0302004003032401,4853971,5
0302004003033301,4853971,5
0302004003035601,4853971,5
0302004003035602,4853971,5
0302004003037801,4853971,5
0302004003039301,4853971,5
0302004003039303,4841000,3
0302007301000801,4862612,4
0302007301001901,4862612,4
0302007301001902,4858290,3
0302007301003401,4862612,4
0302007301004201,4862612,4
0302007301006401,4862612,4
0302007301007601,4862612,4
0302007301008002,4862612,4
0302007301008601,4862612,4
0303014001001801,4892856,4
0303014001004601,4892856,4
0303014001018701,4892856,4
0303014001024001,4892856,4
0303014001027801,4892856,4
0303014001031601,4892856,4
0303014001031901,4892856,4
0303014001031902,4892856,4
0303014001035901,4892856,4
0303023303001401,4892853,5
0303023303002201,4892853,5
0303023303003801,4892853,5
0303023303003806,4901401,4
0303023303003807,4892853,5
0303023303004801,4892853,5
0303023303005201,4892853,5
0303023303005501,4892853,5
0303023303006401,4892853,5
0304002001004401,4836690,5
0304002001011501,4836690,5
0304002001017501,4836690,5
0304002001019301,4836690,5
0304002001019306,4961956,4
0304002001041901,4836690,5
0304002001048301,4836690,5
0304002001048304,4845320,3
0304002001062801,4836690,5
0304002001093601,4836690,5
0304014003008101,5018131,4
0304014003008102,4836688,5
0304014003008901,4836688,5
0304014003029701,4836688,5
0304014003032001,4836688,5
0304014003032601,4836688,5
0304014003049501,4836688,5
0304014003058501,4836688,5
0304014003065001,4836688,5
0304031003002401,4836689,5
0304031003002405,4914417,4
0304031003011401,4836689,5
0304031003011403,5022470,5
0304031003011901,4836689,5
0304031003015901,4836689,5
0304031003015907,4836689,5
0304031003017201,4836689,5
0304031003021001,4836689,5
0304031003024001,4836689,5
0304031003027001,4836689,5
0305004002006801,4832366,5
0305004002009202,4832366,5
0305004002017501,4832366,5
0305004002017502,4832366,5
0305004002018801,4832366,5
0305004002030001,4832366,5
0305004002032201,4832366,5
0305004002041101,4832366,5
0305004002065201,4832366,5
0305010004010501,4836684,4
0305010004021901,4836684,4
0305010004021905,4841006,5
0305010004035101,4836684,4
0305010004047001,4836684,4
0305010004057401,4836684,4
0305010004057402,4836684,4
0305010004068501,4836684,4
0305010004070801,4836684,4
0305010004080301,4836684,4
0305013005002801,4841005,4
0305013005004201,4841005,4
0305013005004401,4841005,4
0305013005004404,4841005,4
0305013005004406,4853972,5
0305013005010301,4841005,4
0305013005011501,4841005,4
0305013005011502,5018150,4
0305013005011507,4841000,3
0305013005012401,4841005,4
0305013005017501,4841005,4
0305013005017503,4841001,2
0305013005023101,4841005,4
0401015002000601,4910143,6
0401015002003001,4910143,6
0401015002015801,4910143,6
0401015002039901,4910143,6
0401015002041201,4910143,6
0401015002044001,4910143,6
0401015002045401,4910143,6
0401015002054301,4910143,6
0401027004035001,4910139,4
0401027004048701,4910139,4
0401027004085401,4910139,4
0401027004118901,4910139,4
0401027004134301,4910139,4
0401027004134304,4875572,4
0401027004142101,4910139,4
0402004005004401,4927422,4
0402004005004402,4927422,4
0402004005011201,4927422,4
0402004005011501,4927422,4
0402004005012401,4927422,4
0402004005019301,4927422,4
0402004005031701,4927422,4
0402004005031703,5026790,4
0402004005041901,4927422,4
0402004005041903,5026789,4
0402004005048301,4927422,4
0402008352000201,4936061,4
0402008352000203,4936061,4
0402008352000901,4936061,4
0402008352001501,4936061,4
0402008352001601,4936061,4
0402008352002301,4936061,4
0402008352002901,4936061,4
0402008352003501,4936061,4
0402008352005001,4936061,4
0402012002008401,4923101,5
0402012002008701,4923101,5
0402012002018701,4923101,5
0402012002022601,4923101,5
0402012002028701,4923101,5
0402012002030001,4923101,5
0402012002032901,4923101,5
0402012002032905,4923101,5
0402012002032906,5018151,
0402012002040301,4923101,5
0403009003000901,4927423,4
0403009003003001,4927423,4
0403009003004101,4927423,4
0403009003007001,4927423,4
0403009003007002,4927423,4
0403009003010701,4927423,4
0403009003010704,4927423,4
0403009003016801,4927423,4
0403009003016804,5018150,4
0403009003027001,4927423,4
0403009003039901,4927423,4
0403034001005401,4940384,4
0403034001006501,4940384,4
0403034001007701,4940384,4
0403034001009301,4940384,4
0403034001015701,4940384,4
0403034001015703,4940384,4
0403034001015705,5208168,6
0403034001017601,4940384,4
0403034001017602,4936065,4
0403034001020201,4940384,4
0403034001035101,4940384,4
0404024003005001,4923109,
0404024003006401,4923109,
0404024003007501,4923109,
0404024003007901,4923109,
0404024003009601,4923109,
0404024003012301,4923109,
0404024003012901,4923109,
0404024003014901,4923109,
0405002005000501,4949027,5
0405002005000601,4949027,5
0405002005004502,4949027,5
0405002005004701,4949027,5
0405002005004801,4949027,5
0405002005005602,4949027,5
0405002005005603,4949027,5
0405002005006001,4949027,5
0405010004001601,4953346,4
0405010004003501,4953346,4
0405010004003503,4953346,4
0405010004004501,4953346,4
0405010004005001,4953346,4
0405010004008401,4953346,4
0405010004008801,4953346,4
0405010004011001,4953346,4
0405010004014801,4953346,4
0405010004014803,4940387,4
0406003001004401,4961978,3
0406003001028501,4961978,3
0406003001034701,4961978,3
0406003001035101,4961978,3
0406003001039601,4961978,3
0406003001089501,4961978,3
0406003001094101,4961978,3
0406003001094103,5005179,4
0406003001108301,4961978,3
0406003001108305,4961978,3
0406017003005501,4957661,3
0406017003011401,4957661,3
0406017003011602,4957661,3
0406017003016802,4957661,3
0406017003030301,4957661,3
0406017003032801,4957661,3
0406017003040701,4957661,3
0406019002017601,4944696,4
0406019002033901,4944696,4
0406019002033902,5022471,4
0406019002044601,4944696,4
0406019002053201,4944696,4
0406019002054701,4944696,4
0406019002060401,4944696,4
0406019002067301,4944696,4
0406019002078601,4944696,4
0407011002003201,4949010,4
0407011002003901,4949010,4
0407011002003902,4949010,4
0407011002003904,4949010,4
0407011002012301,4949010,4
0407011002013001,4949010,4
0407011002019001,4949010,4
0407011002026101,4949010,4
0407011002031402,4949010,4
0407011002032401,4949010,4
0407011002032403,4949010,4
0501008005026101,5009486,4
0501008005035801,5009486,4
0501008005072901,5009486,4
0501008005076901,5009486,4
0501008005122901,5009486,4
0501008005132701,5009486,4
0501008005134001,5009486,4
0501008005137201,5009486,4
0501034002006601,4996524,5
0501034002007801,4996524,5
0501034002007803,4996525,5
0501034002023701,4996524,5
0501034002028001,4996524,5
0501034002034501,4996524,5
0501034002039601,4996524,5
0501034002044601,4996524,5
0501034002044603,5018125,4
0501034002045701,4996524,5
0502018007003801,5026774,5
0502018007018002,5026774,5
0502018007030801,5026774,5
0502018007041101,5026774,5
0502018007051601,5026774,5
0502018007051604,5022451,5
0502018007051605,5013830,
0502018007056401,5026774,5
0502018007059501,5026774,5
0502018007064901,5026774,5
0503008321001201,5087240,4
0503008321001301,5087240,4
0503008321001601,5087240,4
0503008321002401,5108841,3
0503008321004001,5087240,4
0503008321004701,5087240,4
0503008321005301,5087240,4
0503008321005302,5087240,4
0503008321005304,5087240,4
0503008321005901,5087240,4
0503010001007102,5087238,4
0503010001021201,5087238,4
0503010001024101,5087238,4
0503010001045901,5087238,4
0503010001045902,5087239,4
0503010001060401,5087238,4
0503010001075401,5087238,4
0503010001088601,5087238,4
0503010001117901,5087238,4
0504005303000601,5117480,6
0504005303000801,5117480,6
0504005303000806,5018151,
0504005303001101,5117480,6
0504005303001301,5117480,6
0504005303001303,4901452,4
0504005303004701,5117480,6
0504005303005001,5117480,6
0504005303005401,5117480,6
0504005303005501,5117480,6
0504007002002501,5117480,6
0504007002007101,5117480,6
0504007002014401,5117480,6
0504007002015701,5117480,6
0504007002036901,5117480,6
0504007002040701,5117480,6
0504007002050501,5117480,6
0504007002075501,5117480,6
0505002018003601,5018131,4
0505002018004401,5018131,4
0505002018004801,5018131,4
0505002018004901,5018131,4
0505002018006801,5018131,4
0505002018006802,4927353,5
0505002018007201,5018131,4
0505002018009201,5018131,4
0505002018012501,5018131,4
0505009001002101,5022451,5
0505009001002901,5022451,5
0505009001002903,5022451,5
0505009001003301,5022451,5
0505009001004701,5022451,5
0505009001006501,5022451,5
0505009001008101,5022451,5
0505009001009401,5022451,5
0505009001013301,5022451,5
0505009333000301,5018131,4
0505009333000401,5018131,4
0505009333003601,5018131,4
0505009333004101,5018131,4
0505009333004201,5018131,4
0505009333006301,5018131,4
0505009333009401,5018131,4
0505019314003601,5018131,4
0505019314003901,5018131,4
0505019314004401,5018131,4
0505019314004407,5018131,4
0505019314004801,5018131,4
0505019314005901,5018131,4
0505019314006201,5018131,4
0505019314006501,5018131,4
0505019314007201,5018131,4
0506008006000601,4983572,3
0506008006005501,4974933,3
0506008006011402,4983572,3
0506008006011601,4983572,3
0506008006015801,4983572,3
0506008006016801,4983572,3
0506008006019301,4983572,3
0506008006030301,4983572,3
0506009003009202,4974931,5
0506009003017501,4974931,5
0506009003019201,4974931,5
0506009003024101,4974931,5
0506009003030001,4974931,5
0506009003030003,4974931,5
0506009003032201,4974931,5
0506009003041101,4974931,5
0506011001000301,5039730,5
0506011001003101,5039730,5
0506011001005501,5039730,5
0506011001005801,5039730,5
0506011001013301,5039730,5
0506011001013303,5039730,5
0506011001017701,5039730,5
0506011001021501,5039730,5
0506011001030001,5039730,5
0601006018002802,5000866,4
0601006018004201,5000866,4
0601006018004401,5000866,4
0601006018004403,5005189,
0601006018004404,5018150,4
0601006018004414,5005189,
0601006018005901,5000866,4
0601006018005902,5000866,4
0601006018008901,5000866,4
0601006018010302,5000866,4
0601006018011201,5000866,4
0601006018012401,5000866,4
0601012001014801,5009500,6
0601012001016101,5009500,6
0601012001105201,5009500,6
0601012001105206,4853970,3
0601012001105207,5009500,6
0601012001116701,5009500,6
0601012001116702,5009500,6
0601012001156801,5009500,6
0601012001172901,5009500,6
0601012001172904,5009500,6
0601012001172906,5018131,4
0601012001172910,5009500,6
0601012001178201,5009500,6
0601012001197601,5009500,6
0602005001000301,5009505,4
0602005001004001,5009505,4
0602005001006501,5009505,4
0602005001006505,5026791,4
0602005001006701,5009505,4
0602005001006705,5009505,4
0602005001013201,5009505,4
0602005001018801,5009505,4
0602005001019701,5009505,4
0602005001023201,5009505,4
0603013001002901,5026784,4
0603013001005601,5026784,4
0603013001009001,5026784,4
0603013001009701,5026784,4
0603013001011601,5026784,4
0603013001025401,5026784,4
0603013001025406,4853921,5
0603013001027501,5026784,4
0603013001028201,5026784,4
0604010006002901,5052709,4
0604010006010001,5052709,4
0604010006010002,5057029,4
0604010006010006,5026790,4
0604010006014101,5061349,4
0604010006016001,5052709,4
0604010006016003,5026790,4
0604010006016009,5026791,4
0604010006016012,5061348,4
0604010006020501,5052709,4
0604010006020502,5026791,4
0604010006032601,5052709,4
0604010006035201,5052709,4
0604010006041301,5052709,4
0605012004001401,5082950,5
0605012004002101,5082950,5
0605012004002601,5082950,5
0605012004003101,5082950,5
0605012004003301,5082950,5
0605012004003901,5082950,5
0605012004003902,5082950,5
0605012004004101,5082950,5
0605012004004401,5082950,5
0605012302000901,5087270,5
0605012302001001,5087270,5
0605012302001201,5087270,5
0605012302001601,5087270,5
0605012302001602,5087270,5
0605012302003001,5087270,5
0605012302004601,5087270,5
0605012302006801,5087270,5
0606007003000201,5082956,
0606007003004801,5082956,
0606007003007401,5082956,
0606007003007701,5082956,
0606007003010501,5082956,
0606007003016701,5082956,
0606007003026001,5082956,
0606007003030601,5082956,
0701001004002101,5018151,
0701001004003801,5018151,
0701001004008201,5018151,
0701001004008202,5018151,
0701001004008601,5018151,
0701001004011201,5018151,
0701001004013301,5018151,
0701001004014701,5018151,
0701001034001501,5018151,
0701001034003201,5018151,
0701001034004601,5018151,
0701001034005201,5018151,
0701001034005501,5018151,
0701001034005901,5018151,
0701001034006001,5018151,
0701004024002201,5018150,4
0701004024002204,5031090,5
0701004024003001,5018131,4
0701004024004201,5018150,4
0701004024004601,5018150,4
0701004024004901,5018150,4
0701004024006301,5018150,4
0701004111000501,5018150,4
0701004111000701,5018150,4
0701004111002201,5018150,4
0701004111002501,5018150,4
0701004111004101,5018150,4
0701004111006201,5018150,4
0701004111006601,5018150,4
0701004111007001,5018150,4
0701004136000201,5018150,4
0701004136000901,5018148,2
0701004136000902,5018150,4
0701004136000904,5018150,4
0701004136001501,5018150,4
0701004136001601,5018150,4
0701004136002301,5018150,4
0701004136002901,5018150,4
0701004136002903,4797755,4
0701004136003501,5018150,4
0701004136005001,5018150,4
0701004145001301,5018150,4
0701004145001401,5018150,4
0701004145001402,5018150,4
0701004145001405,5018150,4
0701004145002501,5018150,4
0701004145002901,5018150,4
0701004145002902,5018150,4
0701004145002904,5018150,4
0701004145003301,5018150,4
0701004145004001,5018150,4
0701004145005701,5018150,4
0701004145008401,5018150,4
0701005008003401,5018151,
0701005008003403,5018151,
0701005008003601,5018151,
0701005008004401,5018151,
0701005008004801,5018151,
0701005008006201,5018151,
0701005008006202,5018151,
0701005008006601,5018151,
0701005008007201,5018151,
0701006104000601,5018151,
0701006104000608,5018151,
0701006104001301,5018151,
0701006104004201,5018151,
0701006104004702,5018151,
0701006104005401,5018151,
0701006104005501,5018151,
0701006104006701,5018151,
0701006104006705,5018151,
0701006104006706,5009510,
0701006104006805,5026789,4
0701006104006806,5018151,
0701007028003401,5018151,
0701007028003601,5018151,
0701007028004401,5018151,
0701007028004801,5018151,
0701007028004802,5022471,4
0701007028005901,5018151,
0701007028006501,5018151,
0701007028006801,5018151,
0701007028007201,5018151,
0701007052005001,5018151,
0701007052005005,5018151,
0701007052005501,5018151,
0701007052006701,5018151,
0701007052008601,5018151,
0701007052008901,5018151,
0701007052009001,5018151,
0701007052009101,5018151,
0701007052009103,5018151,
0701008005000201,5018151,
0701008005002401,5018151,
0701008005002403,5018151,
0701008005003801,5018151,
0701008005004101,5018151,
0701008005004102,5018150,4
0701008005004801,5018151,
0701008005004807,5018151,
0701008005004901,5018151,
0701008043000702,5018151,
0701008043001101,5018151,
0701008043001401,5018151,
0701008043002401,5018151,
0701008043002402,5018151,
0701008043003201,5018151,
0701008043004001,5018151,
0701008043005401,5018151,
0701008043007501,5018151,
0701009004000101,5018151,
0701009004001201,5018151,
0701009004001601,5018151,
0701009004001701,5018151,
0701009004003301,5018151,
0701009004005701,5018151,
0701009004005705,5009510,
0701009004007901,5018151,
0701009004007908,5199602,
0701009049000801,5018150,4
0701009049002301,5018150,4
0701009049002601,5018150,4
0701009049002901,5018150,4
0701009049004201,5018150,4
0701009049004501,5018150,4
0701009049009901,5018150,4
0701009049009903,5018149,3
0701009049009908,5018150,4
0701009049010401,5018150,4
0701009087001101,5018150,4
0701009087004301,5018150,4
0701009087006101,5018150,4
0701009087007801,5018150,4
0701009087009901,5018150,4
0701009087010701,5018150,4
0701009087011001,5018150,4
0701009102000201,5018150,4
0701009102000401,5018150,4
0701009102000403,4728619,5
0701009102002001,5018150,4
0701009102002901,5018150,4
0701009102003101,5018150,4
0701009102003601,5018150,4
0701009102007701,5018150,4
0701009102008301,5018150,4
0701009102008304,5018150,4
0701010071001601,5018150,4
0701010071004501,5018150,4
0701010071004502,5018150,4
0701010071005501,5018150,4
0701010071006201,5018150,4
0701010071006301,5018150,4
0701010071006307,5031108,4
0701010209000101,5018150,4
0701010209003201,5018150,4
0701010209003401,5018150,4
0701010209003801,5018150,4
0701010209003802,5018150,4
0701010209004301,5018150,4
0701010209005601,5018150,4
0701010209006601,5018150,4
0701011066000801,5018150,4
0701011066001201,5018150,4
0701011066003701,5018150,4
0701011066003708,5018150,4
0701011066004201,5018150,4
0701011066011601,5018150,4
0701011100000101,5018150,4
0701011100000801,5018150,4
0701011100001301,5018150,4
0701011100001601,5018150,4
0701011100006701,5018150,4
0701011100007001,5018150,4
0701011100007401,5018150,4
0701011100009301,5018150,4
0701011145003401,5018150,4
0701011145003601,5018150,4
0701011145004401,5018150,4
0701011145004801,5018150,4
0701011145005901,5018150,4
0701011145006201,5018150,4
0701011145009201,5018150,4
0701013002005501,5018148,2
0701013002011401,5018148,2
0701013002011406,5126097,1
0701013002016801,5018148,2
0701013002028001,5018148,2
0701013002034701,5018148,2
0701013002039601,5018148,2
0701015088000301,5013830,
0701015088000401,5013830,
0701015088000403,4802075,4
0701015088000404,5018132,4
0701015088000405,5130394,3
0701015088002601,5013830,
0701015088003901,5013830,
0701015088004101,5026791,4
0701015088004106,5013830,
0701016357000601,5009510,
0701016357005001,5009510,
0701016357005401,5009510,
0701016357005501,5009510,
0701016357006501,5009510,
0701016357006503,5009510,
0701016357008601,5009510,
0701016357009001,5009510,
0701016357009005,5009510,
0701016357009101,5009510,
0701016454000701,5013830,
0701016454001102,5013830,
0701016454001901,5013830,
0701016454002101,5013830,
0701016454002801,5013830,
0701016454003801,5013830,
0701016454003802,5013830,
0701016454004501,5013830,
0701016454005801,5013830,
0701018003003201,5009508,3
0701018003007601,5009508,3
0701018003008101,5009508,3
0701018003030901,5009508,3
0701018003030903,5009508,3
0701018003036601,5009508,3
0701018003038901,5009508,3
0701018003042601,5009508,3
0701018003042602,5018149,3
0701018003044401,5009508,3
0701018004002801,5013829,3
0701018004004201,5013829,3
0701018004004401,5013829,3
0701018004010301,5013829,3
0701018004011501,5013829,3
0701018004012401,5013829,3
0701018004017501,5013829,3
0701018004023101,5013829,3
0701019011002802,5018150,4
0701019011004201,5018150,4
0701019011004401,5018150,4
0701019011005801,5018150,4
0701019011005901,5018150,4
0701019011007801,5018150,4
0701019011010301,5018150,4
0701019072003601,5018150,4
0701019072006001,5018150,4
0701019072007901,5018150,4
0701019072008101,5018150,4
0701019072008102,5018150,4
0701019072008103,5018150,4
0701019072011101,5018150,4
0701019072013101,5018150,4
0701019072013601,5018150,4
0701019072016101,5018150,4
0701021174000201,5018131,4
0701021174000701,5018150,4
0701021174001901,5018150,4
0701021174002601,5018150,4
0701021174004901,5018150,4
0701021174006301,5018150,4
0701021174007101,4940383,4
0701021174007103,5018150,4
0701021174007104,5018150,4
0701022027000401,5018150,4
0701022027000403,5018150,4
0701022027000801,5018150,4
0701022027000805,5022453,6
0701022027000901,5018150,4
0701022027001101,5018150,4
0701022027001103,5026770,4
0701022027001201,5018150,4
0701022027001301,5018150,4
0701022027002401,5018150,4
0701022027002501,5018150,4
0701022050001001,5018150,4
0701022050001401,5018150,4
0701022050003401,5018150,4
0701022050003601,5018150,4
0701022050004401,5018150,4
0701022050004405,5190896,5
0701022050004406,5026791,4
0701022050004801,5018150,4
0701022050004901,5018150,4
0701022050004903,5018150,4
0701022050005901,5018150,4
0701023064000601,5018150,4
0701023064001301,5018150,4
0701023064004201,5018150,4
0701023064004701,4840999,3
0701023064005501,5018150,4
0701023064006501,5018150,4
0701023064006801,5018150,4
0701023067000601,5018150,4
0701023067000901,5018150,4
0701023067002501,5018150,4
0701023067002503,5018150,4
0701023067002506,5018150,4
0701023067002701,5018150,4
0701023067002901,5018150,4
0701023067002902,5018150,4
0701023067005101,5018150,4
0701023067006501,5018150,4
0701023067006502,5018150,4
0701023067006701,5018150,4
0701023067006705,5018150,4
0701023067006707,5018150,4
0701024001008801,5018149,3
0701024001014801,5018149,3
0701024001017601,5018149,3
0701024001021701,5018149,3
0701024001028302,5018149,3
0701024001031701,5018149,3
0701024001031704,5018149,3
0701024001033601,5018149,3
0701024036003601,5018149,3
0701024036003604,4931741,5
0701024036004401,5018149,3
0701024036004801,5018149,3
0701024036004901,5018149,3
0701024036007202,5018149,3
0701024036007203,5018149,3
0701024036007205,5018149,3
0701024036007209,4931749,
0701024036009201,5018149,3
0701024036011401,5018149,3
0701024036012501,5018149,3
0701027063000201,5018151,
0701027063001501,5018151,
0701027063002301,5018151,
0701027063002901,5018151,
0701027063003501,5018151,
0701027063003503,5147673,6
0701027063003505,5022471,4
0701027063003506,5069948,3
0701027063004501,5018151,
0701027063005001,5018151,
0702001125000101,5022469,3
0702001125000103,5022469,3
0702001125000401,5069947,4
0702001125001101,5022469,3
0702001125001901,5022469,3
0702001125005101,5022469,3
0702001125005103,4745890,5
0702001125005201,5022469,3
0702001125005401,5022469,3
0702001125005601,5022469,3
0702001125005602,5018150,4
0702002001001701,5022469,3
0702002001011801,5022469,3
0702002001013901,5022469,3
0702002001016101,5022469,3
0702002001035801,5022469,3
0702002001036401,5022469,3
0702002001036404,5026789,4
0702002001040001,5022469,3
0702002001040002,5022469,3
0702002001041601,5022469,3
0702002329003501,5026789,4
0702002329005501,5026789,4
0702002329006001,5026789,4
0702002329015201,5026789,4
0702002329020501,5026789,4
0702002329037401,5026789,4
0702002329037501,5026789,4
0702002329037502,5026789,4
0702006012000401,5018151,
0702006012001701,5018151,
0702006012002801,5018151,
0702006012003501,5018151,
0702006012003901,5018151,
0702006012004001,5018151,
0702006012004008,5018151,
0702006012004401,5018151,
0702006012004409,5018151,
0702009001000201,5022470,5
0702009001000601,5022470,5
0702009001001301,5022470,5
0702009001002401,5022470,5
0702009001002405,5126082,3
0702009001007401,5022470,5
0702009001007701,5022470,5
0702009001007705,5018148,2
0702009001009801,5022470,5
0702009028000601,5022470,5
0702009028005001,5022470,5
0702009028005401,5022470,5
0702009028005402,5022470,5
0702009028005405,5022470,5
0702009028005501,5022470,5
0702009028005505,5022470,5
0702009028009001,5022470,5
0702009028009101,5022470,5
0702009028011401,5022470,5
0702009028011601,5022470,5
0702010047000201,5022470,5
0702010047001702,5022470,5
0702010047002101,5022470,5
0702010047002108,5022470,5
0702010047003001,5022470,5
0702010047003502,5022470,5
0702010047004701,5022470,5
0702010047005301,5022470,5
0702010074003601,5018150,4
0702010074004401,5018150,4
0702010074004801,5018150,4
0702010074005901,5018150,4
0702010074006201,5018150,4
0702010074006801,5018150,4
