household_id2,hc_seq_5m,res03_crav6190l_silr_cer
010303010100111044,3929514,5
010303010100111051,3929514,5
010303010100111058,3929514,5
010303010100111065,3929514,5
010303010100111072,3929514,5
010303010100111079,3929514,5
010303010100111086,3929514,5
010303010100111093,3929514,5
010303010100111100,3929514,5
010303088800605002,3929515,5
010303088800605014,3929515,5
010303088800605027,3929515,5
010303088800605036,3929515,5
010303088800605040,3929515,5
010303088800605052,3929515,5
010303088800605066,3929515,5
010303088800605078,3929515,5
010303088800605100,3929515,5
010303088800605107,3929515,5
010303088800605119,3929515,5
010303088800605131,3929515,5
010304088800101001,3925191,5
010304088800101014,3925191,5
010304088800101027,3925191,5
010304088800101040,3925191,5
010304088800101054,3925191,5
010304088800101067,3925191,5
010304088800101077,3925191,5
010304088800101085,3925191,5
010304088800101104,3925191,5
010304088800101115,3925191,5
010304088800101120,3925191,5
010304088800101135,3925191,5
010305088801202001,3938154,4
010305088801202022,3938154,4
010305088801202036,3938154,4
010305088801202043,3938154,4
010305088801202059,3938154,4
010305088801202065,3938154,4
010305088801202086,3938154,4
010305088801202107,3938154,4
010305088801202130,3938154,4
010305088801202137,3938154,4
010305088801202152,3938154,4
010305088801202174,3938154,4
010306088800608021,3951115,6
010306088800608036,3951115,6
010306088800608043,3951115,6
010306088800608062,3951115,6
010306088800608088,3951115,6
010306088800608112,3951115,6
010306088800608122,3951115,6
010306088800608133,3951115,6
010306088800608152,3951115,6
010306088800608174,3951115,6
010306088800608196,3951115,6
010307088800116004,3946796,5
010307088800116016,3946796,5
010307088800116028,3946796,5
010307088800116040,3946796,5
010307088800116064,3946796,5
010307088800116076,3946796,5
010307088800116088,3998636,5
010307088800116100,3946796,5
010307088800116112,3946796,5
010307088800116124,3946796,5
010307088800116136,3946796,5
010307088800709006,3946797,6
010307088800709025,3946797,6
010307088800709043,3946797,6
010307088800709061,3946797,6
010307088800709079,3946797,6
010307088800709097,3946797,6
010307088800709115,3946797,6
010307088800709133,3946797,6
010307088800709151,3968393,6
010307088800709166,3946797,6
010307088800709167,3946797,6
010307088800709171,3946797,6
010309010100101001,3951115,6
010309010100101011,3951115,6
010309010100101021,3951115,6
010309010100101031,3951115,6
010309010100101041,3951115,6
010309010100101051,3951115,6
010309010100101061,3951115,6
010309010100101071,3951115,6
010309010100101081,3951115,6
010309010100101091,3951115,6
010309010100101101,3951115,6
010309010100101111,3951115,6
010309010100101121,3951115,6
010309010100101131,3951115,6
010309010100101141,3951115,6
010401088801204003,3981349,5
010401088801204009,3981349,5
010401088801204022,3981349,5
010401088801204045,3981349,5
010401088801204063,3981349,5
010401088801204081,3981349,5
010401088801204099,3981349,5
010401088801204118,3981349,5
010401088801204136,3981349,5
010401088801204154,3981349,5
010401088801204172,3981349,5
010403020100109011,3981354,6
010403020100109023,3981354,6
010403020100109035,3981354,6
010403020100109047,3981354,6
010403020100109059,3981354,6
010403020100109071,3981354,6
010403020100109083,3981354,6
010403020100109095,3981354,6
010403020100109107,3981354,6
010403020100109119,3981354,6
010403020100109131,3981354,6
010403020100109143,3981354,6
010403088800404002,3977032,6
010403088800404014,3977032,6
010403088800404027,3977032,6
010403088800404040,3977032,6
010403088800404053,3977032,6
010403088800404065,3977032,6
010403088800404074,3977032,6
010403088800404079,3977032,6
010403088800404093,3977032,6
010403088800404106,3977032,6
010403088800404118,3977032,6
010403088800404143,3977032,6
010404088800103001,3989992,6
010404088800103011,3989992,6
010404088800103016,3989992,6
010404088800103031,3989992,6
010404088800103046,3989992,6
010404088800103047,3989992,6
010404088800103062,3989992,6
010404088800103077,3989992,6
010404088800103092,3989992,6
010404088800103107,3989992,6
010404088800103122,3989992,6
010404088800103137,3989992,6
010405088800701004,4002951,6
010405088800701025,4002951,6
010405088800701046,4002951,6
010405088800701062,4002951,6
010405088800701070,4002951,6
010405088800701114,4002951,6
010405088800701135,4002951,6
010405088800701141,4002951,6
010405088800701158,4002951,6
010405088800701179,4002951,6
010405088800701200,4002951,6
010406088800803003,4011595,6
010406088800803020,4011595,6
010406088800803033,4011595,6
010406088800803055,4011595,6
010406088800803074,4011595,6
010406088800803117,4011595,6
010406088800803137,4011595,6
010406088800803155,4011595,6
010406088800803183,4011595,6
010406088800803197,4011595,6
010406088800803207,4011595,6
010408088800402020,4011593,6
010408088800402039,4011593,6
010408088800402054,4011593,6
010408088800402055,4011593,6
010408088800402080,4011593,6
010408088800402098,4011593,6
010408088800402116,4011593,6
010408088800402135,4011593,6
010408088800402155,4011593,6
010408088800402167,4011593,6
010408088800402173,4011593,6
010409010100306001,4002954,5
010409010100306012,4002954,5
010409010100306023,4002954,5
010409010100306034,4002954,5
010409010100306045,4002954,5
010409010100306056,4002954,5
010409010100306067,4002954,5
010409010100306078,4002954,5
010409010100306089,4002954,5
010409010100306100,4002954,5
010409010100306111,4002954,5
010409010100306122,4002954,5
010409010100306133,4002954,5
010409010100306144,4002954,5
010409010100306155,4002954,5
010501020100105007,3929481,6
010501020100105019,3929481,6
010501020100105031,3929481,6
010501020100105043,3929481,6
010501020100105055,3929481,6
010501020100105067,3929481,6
010501020100105079,3929481,6
010501020100105091,3929481,6
010501020100105103,3929481,6
010501020100105115,3929481,6
010501020100105127,3929481,6
010501020100105139,3929481,6
010501020100105151,3929481,6
010501020100105163,3929481,6
010501020100105175,3929481,6
010501088800105005,3933797,6
010501088800105031,3933797,6
010501088800105037,3933797,6
010501088800105053,3933797,6
010501088800105075,3933797,6
010501088800105077,3933797,6
010501088800105091,3933797,6
010501088800105110,3933797,6
010501088800105136,3933797,6
010501088800105153,3933797,6
010501088800105174,3933797,6
010501088800105200,3933797,6
010502088800201004,3938129,4
010502088800201022,3938129,4
010502088800201027,3938129,4
010502088800201041,3938129,4
010502088800201057,3938129,4
010502088800201078,3938129,4
010502088800201099,3938129,4
010502088800201120,3938129,4
010502088800201142,3938129,4
010502088800201163,3938129,4
010502088800201184,3938129,4
010502088800201205,3938129,4
010502088800712002,3955409,6
010502088800712020,3955409,6
010502088800712035,3955409,6
010502088800712040,3955409,6
010502088800712054,3955409,6
010502088800712064,3955409,6
010502088800712073,3955409,6
010502088800712091,3955409,6
010502088800712100,3955409,6
010502088800712110,3955409,6
010502088800712138,3955409,6
010502088801503002,3955408,6
010502088801503015,3955408,6
010502088801503021,3955408,6
010502088801503026,3955408,6
010502088801503040,3955408,6
010502088801503058,3955408,6
010502088801503076,3955408,6
010502088801503094,3955408,6
010502088801503112,3955408,6
010502088801503130,3955408,6
010502088801503148,3955408,6
010502088801503167,3955408,6
010503088801501011,3964045,6
010503088801501062,3964045,6
010503088801501114,3964045,6
010503088801501183,3964045,6
010503088801501236,3964045,6
010503088801501306,3964045,6
010503088801501372,3964045,6
010503088801501408,3964043,6
010503088801501503,3964045,6
010503088801501572,3964045,6
010503088802304003,3964051,5
010503088802304015,3964051,5
010503088802304021,3964051,5
010503088802304039,3964051,5
010503088802304053,3964051,5
010503088802304057,3964051,5
010503088802304075,3964051,5
010503088802304094,3964051,5
010503088802304112,3964051,5
010503088802304130,3964051,5
010503088802304148,3964051,5
010503088802304166,3964051,5
010601010100224014,3968393,6
010601010100224029,3968393,6
010601010100224044,3968393,6
010601010100224059,3968393,6
010601010100224074,3968393,6
010601010100224089,3968393,6
010601010100224104,3968393,6
010601010100224119,3968393,6
010601010100224134,3968393,6
010601010100224149,3968393,6
010601010100224164,3968393,6
010601010100224179,3968393,6
010601010100224194,3968393,6
010601010100224209,3968393,6
010601010100224224,3968393,6
010601010100303003,3964073,6
010601010100303018,3964073,6
010601010100303033,3964073,6
010601010100303048,3964073,6
010601010100303063,3964073,6
010601010100303078,3964073,6
010601010100303093,3964073,6
010601010100303108,3964073,6
010601010100303123,3964073,6
010601010100303138,3964073,6
010601010100303153,3964073,6
010601010100303168,3964073,6
010601010100303183,3964073,6
010601010100303198,3964073,6
010601010100303213,3964073,6
010601010100315005,3968393,6
010601010100315013,3968393,6
010601010100315017,3968393,6
010601010100315021,3968393,6
010601010100315029,3968393,6
010601010100315037,3968393,6
010601010100315045,3968393,6
010601010100315053,3968393,6
010601010100315061,3968393,6
010601010100315069,3968393,6
010601010100315077,3968393,6
010601010100315085,3968393,6
010601010100315093,3968393,6
010601010100315101,3968393,6
010601010100315109,3968393,6
010601010100423001,3968393,6
010601010100423002,3968393,6
010601010100423003,3968393,6
010601010100423004,3968393,6
010601010100423005,3968393,6
010601010100423006,3968393,6
010601010100423007,3968393,6
010601010100423008,3968393,6
010601010100423009,3968393,6
010601010100423010,3968393,6
010601010100423011,3968393,6
010601010100423012,3968393,6
010601010100423013,3968393,6
010601010100423014,3968393,6
010601010100423015,3968393,6
010601010100532009,3964073,6
010601010100532021,3964073,6
010601010100532033,3964073,6
010601010100532045,3964073,6
010601010100532057,3964073,6
010601010100532069,3964073,6
010601010100532081,3964073,6
010601010100532093,3964073,6
010601010100532105,3964073,6
010601010100532117,3964073,6
010601010100532129,3964073,6
010601010100532141,3964073,6
010601010100532153,3964073,6
010601010100532165,3964073,6
010601010100532177,3964073,6
010601010103701003,3964073,6
010601010103701022,3964073,6
010601010103701041,3964073,6
010601010103701060,3964073,6
010601010103701079,3964073,6
010601010103701098,3964073,6
010601010103701117,3964073,6
010601010103701136,3964073,6
010601010103701155,3964073,6
010601010103701174,3964073,6
010601010103701193,3964073,6
010601010103701212,3964073,6
010601010103701231,3964073,6
010601010103701250,3964073,6
010601010103701269,3964073,6
010602010100113005,3968393,6
010602010100113014,3968393,6
010602010100113023,3968393,6
010602010100113032,3968393,6
010602010100113041,3968393,6
010602010100113050,3968393,6
010602010100113059,3968393,6
010602010100113068,3968393,6
010602010100113077,3968393,6
010602010100113086,3968393,6
010602010100113095,3968393,6
010602010100113104,3968393,6
010602010100113113,3968393,6
010602010100113122,3968393,6
010602010100113131,3968393,6
010602010100519007,3968394,6
010602010100519019,3968394,6
010602010100519031,3968394,6
010602010100519043,3968394,6
010602010100519055,3968394,6
010602010100519076,3968394,6
010602010100519079,3968394,6
010602010100519091,3968394,6
010602010100519103,3968394,6
010602010100519115,3968394,6
010602010100519127,3968394,6
010602010100519139,3968394,6
010602010100519151,3968394,6
010602010100519163,3968394,6
010602010100519175,3968394,6
020102010100102008,4050498,7
020102010100102019,4050498,7
020102010100102030,4050498,7
020102010100102041,4050498,7
020102010100102052,4050498,7
020102010100102063,4050498,7
020102010100102085,4050498,7
020102010100102096,4050498,7
020102010100102107,4050498,7
020102010100102118,4050498,7
020102010100102129,4050498,7
020102010100102141,4050498,7
020103010100204004,4067777,7
020103010100204015,4067777,7
020103010100204026,4067777,7
020103010100204037,4067777,7
020103010100204059,4067777,7
020103010100204070,4067777,7
020103010100204081,4067777,7
020103010100204092,4067777,7
020103010100204114,4067777,7
020103010100204125,4067777,7
020103010100204136,4067777,7
020103010100204147,4067777,7
020103010100204158,4067777,7
020103088800102004,4059136,7
020103088800102014,4059136,7
020103088800102019,4059136,7
020103088800102049,4059136,7
020103088800102064,4059136,7
020103088800102079,4059136,7
020103088800102094,4059136,7
020103088800102109,4059136,7
020103088800102125,4059136,7
020103088800601003,4067777,7
020103088800601022,4067777,7
020103088800601040,4067777,7
020103088800601061,4067777,7
020103088800601079,4067777,7
020103088800601097,4067777,7
020103088800601115,4067777,7
020103088800601133,4067777,7
020103088800601171,4067777,7
020103088800802007,4067778,7
020103088800802066,4067778,7
020103088800802069,4067778,7
020103088800802078,4067778,7
020103088800802113,4067778,7
020103088800802147,4067778,7
020103088800802181,4067778,7
020103088800802217,4067778,7
020103088800802250,4067778,7
020103088800802283,4067778,7
020103088800802316,4067778,7
020104088800201006,4067778,7
020104088800201024,4067778,7
020104088800201044,4067778,7
020104088800201062,4067778,7
020104088800201067,4067778,7
020104088800201079,4067778,7
020104088800201083,4067778,7
020104088800201101,4067778,7
020104088800201119,4067778,7
020104088800201137,4067778,7
020104088800201155,4067778,7
020104088800201173,4067778,7
020105088800404001,4063450,6
020105088800404004,4072091,5
020105088800404007,4063450,6
020105088800404010,4063450,6
020105088800404013,4063450,6
020105088800404016,4063450,6
020105088800404019,4063450,6
020105088800404022,4063450,6
020105088800404024,4063450,6
020105088800404025,4063450,6
020105088800404028,4063450,6
020105088801103002,4080722,5
020105088801103008,4080722,5
020105088801103014,4080722,5
020105088801103026,4080722,5
020105088801103044,4080722,5
020105088801103064,4080722,5
020105088801103091,4080722,5
020105088801103111,4080722,5
020105088801103113,4080722,5
020106088800402017,4063440,5
020106088800402029,4063440,5
020106088800402041,4063440,5
020106088800402054,4063440,5
020106088800402066,4063440,5
020106088800402077,4063440,5
020106088800402080,4063440,5
020106088800402092,4063440,5
020106088800402116,4063440,5
020301030100101016,4184402,6
020301030100101028,4184402,6
020301030100101040,4184402,6
020301030100101064,4184402,6
020301030100101076,4184402,6
020301030100101088,4184402,6
020301030100101112,4184402,6
020301030100101148,4184402,6
020302088800102002,4188720,5
020302088800102011,4188720,5
020302088800102020,4188720,5
020302088800102029,4188720,5
020302088800102038,4188720,5
020302088800102047,4188720,5
020302088800102071,4188720,5
020302088800102080,4188720,5
020302088800102089,4188720,5
020304088800601002,4171441,5
020304088800601012,4171441,5
020304088800601017,4171441,5
020304088800601032,4171441,5
020304088800601047,4171441,5
020304088800601062,4171441,5
020304088800601077,4171441,5
020304088800601107,4171441,5
020304088800601122,4171441,5
020304088800601137,4171441,5
020304088800601158,4171441,5
020304088800601160,4171441,5
020306088800601006,4162798,6
020306088800601018,4162798,6
020306088800601024,4162798,6
020306088800601032,4162798,6
020306088800601044,4162798,6
020306088800601062,4162798,6
020306088800601080,4162798,6
020306088800601098,4162798,6
020306088800601116,4162798,6
020306088800601134,4162798,6
020306088800601152,4162798,6
020306088800601170,4162798,6
030101088800204002,3972693,5
030101088800204020,3972693,5
030101088800204028,3972693,5
030101088800204040,3972693,5
030101088800204058,3972693,5
030101088800204061,3972693,5
030101088800204077,3972693,5
030101088800204114,3972693,5
030101088800204132,3972693,5
030101088800204150,3972693,5
030101088800204168,3972693,5
030104088800901006,3981333,6
030104088800901014,3981333,6
030104088800901030,3981333,6
030104088800901054,3981333,6
030104088800901078,3981333,6
030104088800901102,3981333,6
030104088800901126,3981333,6
030104088800901150,3981333,6
030104088800901174,3981333,6
030104088800901199,3981333,6
030104088800901223,3981333,6
030108088800701005,4002928,5
030108088800701020,4002928,5
030108088800701035,4002928,5
030108088800701050,4002928,5
030108088800701065,4002928,5
030108088800701080,4002928,5
030108088800701095,4002928,5
030108088800701110,4002928,5
030108088800701125,4002928,5
030108088800701140,4002928,5
030108088800701157,4002928,5
030108088800701159,4002928,5
030109020100112003,4002931,6
030109020100112013,4002931,6
030109020100112023,4002931,6
030109020100112033,4002931,6
030109020100112043,4002931,6
030109020100112053,4002931,6
030109020100112063,4002931,6
030109020100112073,4002931,6
030109020100112083,4002931,6
030109020100112093,4002931,6
030109020100112103,4002931,6
030109020100112113,4002931,6
030109020100112123,4002931,6
030109020100112133,4002931,6
030109020100112143,4002931,6
030110088801806002,4024532,6
030110088801806021,4024532,6
030110088801806040,4024532,6
030110088801806059,4024532,6
030110088801806069,4024532,6
030110088801806079,4024532,6
030110088801806098,4024532,6
030110088801806117,4024532,6
030110088801806136,4024532,6
030110088801806153,4024532,6
030110088801806157,4024532,6
030110088801806177,4024532,6
030111088800102005,4015887,4
030111088800102024,4015887,4
030111088800102043,4015887,4
030111088800102062,4015887,4
030111088800102081,4015887,4
030111088800102100,4015887,4
030111088800102119,4015887,4
030111088800102138,4015887,4
030111088800102157,4015887,4
030111088800102176,4015887,4
030111088800102195,4015887,4
030111088800102214,4015887,4
030112088800203003,4002923,6
030112088800203011,4002923,6
030112088800203015,4002923,6
030112088800203023,4002923,6
030112088800203027,4002923,6
030112088800203039,4002923,6
030112088800203051,4002923,6
030112088800203087,4002923,6
030112088800203099,4002923,6
030112088800203111,4002923,6
030114088800816008,4024511,6
030114088800816023,4024511,6
030114088800816041,4024511,6
030114088800816077,4024511,6
030114088800816091,4024511,6
030114088800816096,4024511,6
030114088800816114,4024511,6
030114088800816132,4024511,6
030114088800816138,4024511,6
030114088800816152,4024511,6
030114088800816170,4024511,6
030116088802804005,4028853,7
030116088802804013,4028853,7
030116088802804055,4028853,7
030116088802804074,4028853,7
030116088802804080,4028853,7
030116088802804105,4028853,7
030116088802804129,4028853,7
030116088802804153,4028853,7
030116088802804178,4028853,7
030116088802804226,4028853,7
030118010100610009,4011569,6
030118010100610020,4011569,6
030118010100610031,4011569,6
030118010100610042,4011569,6
030118010100610053,4011569,6
030118010100610064,4011569,6
030118010100610075,4011569,6
030118010100610086,4011569,6
030118010100610097,4011569,6
030118010100610108,4011569,6
030118010100610119,4011569,6
030118010100610130,4011569,6
030118010100610141,4011569,6
030118010100610152,4011569,6
030118010100610163,4011569,6
030118010101204004,4011569,6
030118010101204011,4011569,6
030118010101204018,4011569,6
030118010101204025,4011569,6
030118010101204032,4011569,6
030118010101204039,4011569,6
030118010101204046,4011569,6
030118010101204053,4011569,6
030118010101204060,4011569,6
030118010101204067,4011569,6
030118010101204074,4011569,6
030118010101204081,4011569,6
030118010101204088,4011569,6
030118010101204095,4011569,6
030118010101204102,4011569,6
030118010102006001,4015889,5
030118010102006019,4015889,5
030118010102006037,4015889,5
030118010102006055,4015889,5
030118010102006073,4015889,5
030118010102006091,4015889,5
030118010102006109,4015889,5
030118010102006127,4015889,5
030118010102006145,4015889,5
030118010102006163,4015889,5
030118010102006181,4015889,5
030118010102006199,4015889,5
030118010102006217,4015889,5
030118010102006235,4015889,5
030118010102006253,4015889,5
030120020100105017,3994284,3
030120020100105036,3994284,3
030120020100105055,3994284,3
030120020100105093,3994284,3
030120020100105112,3994284,3
030120020100105131,3994284,3
030120020100105150,3994284,3
030120020100105169,3994284,3
030120020100105188,3994284,3
030120020100105207,3994284,3
030120020100105226,3994284,3
030201088800703001,4024541,6
030201088800703019,4024541,6
030201088800703037,4024541,6
030201088800703055,4024541,6
030201088800703073,4024541,6
030201088800703091,4024541,6
030201088800703092,4024541,6
030201088800703110,4024541,6
030201088800703111,4024541,6
030201088800703129,4024541,6
030201088800703147,4024541,6
030201088800703165,4024541,6
030202088802508005,4041813,6
030202088802508017,4041813,6
030202088802508023,4041813,6
030202088802508035,4041813,6
030202088802508041,4041813,6
030202088802508059,4041813,6
030202088802508077,4041813,6
030202088802508095,4041813,6
030202088802508113,4041813,6
030202088802508131,4041813,6
030202088802508149,4041813,6
030202088802508167,4041813,6
030204088800906003,4050458,4
030204088800906013,4050458,4
030204088800906018,4050458,4
030204088800906033,4050458,4
030204088800906048,4050458,4
030204088800906063,4050458,4
030204088800906078,4050458,4
030204088800906108,4050458,4
030204088800906123,4050458,4
030204088800906138,4050458,4
030205088801907002,4059101,5
030205088801907018,4059101,5
030205088801907033,4059101,5
030205088801907049,4059101,5
030205088801907066,4059101,5
030205088801907081,4059101,5
030205088801907096,4059101,5
030205088801907112,4059101,5
030205088801907128,4059101,5
030205088801907143,4059101,5
030205088801907173,4059101,5
030207010100110003,4076378,6
030207010100110014,4076378,6
030207010100110025,4076378,6
030207010100110036,4076378,6
030207010100110047,4076378,6
030207010100110058,4076378,6
030207010100110069,4076378,6
030207010100110080,4076378,6
030207010100110091,4076378,6
030207010100110102,4076378,6
030207010100110113,4076378,6
030207010100110124,4076378,6
030207010100110135,4076378,6
030207010100110146,4076378,6
030207010100110157,4076378,6
030207088803703003,4080699,6
030207088803703019,4080699,6
030207088803703035,4080699,6
030207088803703048,4080699,6
030207088803703051,4080699,6
030207088803703066,4080699,6
030207088803703081,4080699,6
030207088803703096,4080699,6
030207088803703111,4080699,6
030207088803703126,4080699,6
030207088803703141,4080699,6
030209010100104020,4054770,2
030209010100104034,4054770,2
030209010100104048,4054770,2
030209010100104062,4054770,2
030209010100104076,4054770,2
030209010100104090,4054770,2
030209010100104104,4054770,2
030209010100104118,4054770,2
030209010100104132,4054770,2
030209010100104146,4054770,2
030209088800708006,4059091,2
030209088800708018,4059091,2
030209088800708024,4059091,2
030209088800708042,4059091,2
030209088800708060,4059091,2
030209088800708066,4059091,2
030209088800708079,4059091,2
030209088800708097,4059091,2
030209088800708115,4059091,2
030209088800708133,4059091,2
030209088800708151,4059091,2
030301088800204001,4033183,6
030301088800204002,4033183,6
030301088800204010,4033183,6
030301088800204021,4033183,6
030301088800204030,4033183,6
030301088800204034,4033183,6
030301088800204040,4033183,6
030301088800204049,4033183,6
030301088800204058,4033183,6
030301088800204067,4033183,6
030301088800204076,4033183,6
030301088800204085,4033183,6
030302010100108012,4041835,6
030302010100108025,4041835,6
030302010100108038,4041835,6
030302010100108051,4041835,6
030302010100108064,4041835,6
030302010100108077,4041835,6
030302010100108090,4041835,6
030302010100108103,4041835,6
030302010100108116,4041835,6
030302010100108129,4041835,6
030302010100108142,4041835,6
030302010100108155,4041835,6
030302088802104009,4046157,6
030302088802104016,4046157,6
030302088802104032,4046157,6
030302088802104047,4046157,6
030302088802104063,4046157,6
030302088802104078,4046157,6
030302088802104093,4046157,6
030302088802104108,4046157,6
030302088802104114,4046157,6
030302088802104127,4046157,6
030302088802104143,4046157,6
030302088802104162,4046157,6
030303088802404006,4046152,6
030303088802404022,4046152,6
030303088802404037,4046152,6
030303088802404054,4046152,6
030303088802404069,4046152,6
030303088802404085,4046152,6
030303088802404095,4046152,6
030303088802404105,4046152,6
030303088802404121,4046152,6
030303088802404138,4046152,6
030303088802404153,4046152,6
030303088802404171,4046152,6
030304088800906010,4050469,5
030304088800906012,4050469,5
030304088800906051,4050469,5
030304088800906077,4050469,5
030304088800906098,4050469,5
030304088800906110,4050469,5
030304088800906122,4050469,5
030304088800906134,4050469,5
030304088800906149,4050469,5
030304088800906161,4050469,5
030304088800906174,4050469,5
030305088801101002,4063428,5
030305088801101023,4063428,5
030305088801101044,4063428,5
030305088801101051,4063428,5
030305088801101065,4063428,5
030305088801101072,4063428,5
030305088801101081,4063428,5
030305088801101087,4063428,5
030305088801101108,4063428,5
030305088801101123,4063428,5
030305088801101130,4063428,5
030305088801101193,4063428,5
