household_id,hc_seq_5m,res03_crav6190l_silr_cer
02010400201062,4067778,7
02010400201067,4067778,7
02010400201079,4067778,7
02010400201083,4067778,7
02010400201101,4067778,7
02010400201119,4067778,7
02010400201137,4067778,7
02010400201155,4067778,7
02010400201173,4067778,7
02010500404001,4063450,6
02010500404004,4063450,6
02010500404007,4063450,6
02010500404010,4063450,6
02010500404013,4063450,6
02010500404016,4063450,6
02010500404019,4063450,6
02010500404022,4063450,6
02010500404024,4063450,6
02010500404025,4063450,6
02010500404028,4063450,6
02010500404032,4063450,6
02010501103002,4080722,5
02010501103008,4080722,5
02010501103014,4080722,5
02010501103026,4080722,5
02010501103044,4080722,5
02010501103055,4080722,5
02010501103064,4080722,5
02010501103083,4080722,5
02010501103091,4080722,5
02010501103111,4080722,5
02010501103113,4080722,5
02010501103125,4080722,5
02010600402004,4063440,5
02010600402015,4063440,5
02010600402017,4063440,5
02010600402029,4063440,5
02010600402041,4063440,5
02010600402054,4063440,5
02010600402066,4063440,5
02010600402077,4063440,5
02010600402080,4063440,5
02010600402092,4063440,5
02010600402104,4063440,5
02010600402116,4063440,5
02030100101004,4184402,6
02030100101016,4184402,6
02030100101028,4184402,6
02030100101040,4184402,6
02030100101052,4184402,6
02030100101064,4184402,6
02030100101076,4184402,6
02030100101088,4184402,6
02030100101112,4184402,6
02030100101124,4184402,6
02030100101136,4184402,6
02030100101148,4184402,6
02030200102002,4188720,5
02030200102011,4188720,5
02030200102020,4188720,5
02030200102029,4188720,5
02030200102038,4188720,5
02030200102047,4188720,5
02030200102053,4188720,5
02030200102057,4188720,5
02030200102062,4188720,5
02030200102071,4188720,5
02030200102080,4188720,5
02030200102089,4188720,5
02030400601002,4171441,5
02030400601012,4171441,5
02030400601017,4171441,5
02030400601032,4171441,5
02030400601047,4171441,5
02030400601062,4171441,5
02030400601077,4171441,5
02030400601107,4171441,5
02030400601122,4171441,5
02030400601137,4171441,5
02030400601158,4171441,5
02030400601160,4171441,5
02030600601006,4162798,6
02030600601018,4162798,6
02030600601024,4162798,6
02030600601032,4162798,6
02030600601044,4162798,6
02030600601062,4162798,6
02030600601080,4162798,6
02030600601098,4162798,6
02030600601116,4162798,6
02030600601134,4162798,6
02030600601152,4162798,6
02030600601170,4162798,6
03010100204002,3972693,5
03010100204020,3972693,5
03010100204028,3972693,5
03010100204040,3972693,5
03010100204058,3972693,5
03010100204061,3972693,5
03010100204077,3972693,5
03010100204096,3972693,5
03010100204114,3972693,5
03010100204132,3972693,5
03010100204150,3972693,5
03010100204168,3972693,5
03010400901006,3981333,6
03010400901014,3981333,6
03010400901030,3981333,6
03010400901054,3981333,6
03010400901078,3981333,6
03010400901102,3981333,6
03010400901126,3981333,6
03010400901150,3981333,6
03010400901174,3981333,6
03010400901176,3981333,6
03010400901199,3981333,6
03010400901223,3981333,6
03010800701005,4002928,5
03010800701020,4002928,5
03010800701035,4002928,5
03010800701050,4002928,5
03010800701065,4002928,5
03010800701080,4002928,5
03010800701095,4002928,5
03010800701110,4002928,5
03010800701125,4002928,5
03010800701140,4002928,5
03010800701157,4002928,5
03010800701159,4002928,5
03011001806002,4024532,6
03011001806021,4024532,6
03011001806040,4024532,6
03011001806059,4024532,6
03011001806069,4024532,6
03011001806079,4024532,6
03011001806098,4024532,6
03011001806117,4024532,6
03011001806136,4024532,6
03011001806153,4024532,6
03011001806157,4024532,6
03011001806177,4024532,6
03011100102005,4015887,4
03011100102024,4015887,4
03011100102043,4015887,4
03011100102062,4015887,4
03011100102081,4015887,4
03011100102100,4015887,4
03011100102119,4015887,4
03011100102138,4015887,4
03011100102157,4015887,4
03011100102176,4015887,4
03011100102195,4015887,4
03011100102214,4015887,4
03011200203003,4002923,6
03011200203011,4002923,6
03011200203015,4002923,6
03011200203023,4002923,6
03011200203027,4002923,6
03011200203039,4002923,6
03011200203051,4002923,6
03011200203063,4002923,6
03011200203075,4002923,6
03011200203087,4002923,6
03011200203099,4002923,6
03011200203111,4002923,6
03011400816008,4024511,6
03011400816023,4024511,6
03011400816041,4024511,6
03011400816077,4024511,6
03011400816091,4024511,6
03011400816096,4024511,6
03011400816114,4024511,6
03011400816132,4024511,6
03011400816138,4024511,6
03011400816152,4024511,6
03011400816170,4024511,6
03011602804005,4028853,7
03011602804013,4028853,7
03011602804031,4028853,7
03011602804055,4028853,7
03011602804074,4028853,7
03011602804080,4028853,7
03011602804105,4028853,7
03011602804129,4028853,7
03011602804153,4028853,7
03011602804178,4028853,7
03011602804202,4028853,7
03011602804226,4028853,7
03012000105017,3994284,3
03012000105036,3994284,3
03012000105055,3994284,3
03012000105074,3994284,3
03012000105093,3994284,3
03012000105112,3994284,3
03012000105131,3994284,3
03012000105150,3994284,3
03012000105169,3994284,3
03012000105188,3994284,3
03012000105207,3994284,3
03012000105226,3994284,3
03020100703001,4024541,6
03020100703019,4024541,6
03020100703037,4024541,6
03020100703055,4024541,6
03020100703073,4024541,6
03020100703091,4024541,6
03020100703092,4024541,6
03020100703110,4024541,6
03020100703111,4024541,6
03020100703129,4024541,6
03020100703147,4024541,6
03020100703165,4024541,6
03020202508005,4041813,6
03020202508017,4041813,6
03020202508023,4041813,6
03020202508035,4041813,6
03020202508041,4041813,6
03020202508059,4041813,6
03020202508077,4041813,6
03020202508095,4041813,6
03020202508113,4041813,6
03020202508131,4041813,6
03020202508149,4041813,6
03020202508167,4041813,6
03020400906003,4050458,4
03020400906013,4050458,4
03020400906018,4050458,4
03020400906033,4050458,4
03020400906048,4050458,4
03020400906063,4050458,4
03020400906078,4050458,4
03020400906093,4050458,4
03020400906108,4050458,4
03020400906123,4050458,4
03020400906138,4050458,4
03020400906160,4050458,4
03020501907002,4059101,5
03020501907018,4059101,5
03020501907033,4059101,5
03020501907049,4059101,5
03020501907064,4059101,5
03020501907066,4059101,5
03020501907081,4059101,5
03020501907096,4059101,5
03020501907112,4059101,5
03020501907128,4059101,5
03020501907143,4059101,5
03020501907173,4059101,5
03020703703003,4080699,6
03020703703008,4080699,6
03020703703019,4080699,6
03020703703035,4080699,6
03020703703048,4080699,6
03020703703051,4080699,6
03020703703066,4080699,6
03020703703081,4080699,6
03020703703096,4080699,6
03020703703111,4080699,6
03020703703126,4080699,6
03020703703141,4080699,6
03020900104006,4054770,2
03020900104020,4054770,2
03020900104034,4054770,2
03020900104048,4054770,2
03020900104062,4054770,2
03020900104076,4054770,2
03020900104090,4054770,2
03020900104104,4054770,2
03020900104118,4054770,2
03020900104132,4054770,2
03020900104146,4054770,2
03020900708006,4059091,2
03020900708018,4059091,2
03020900708024,4059091,2
03020900708042,4059091,2
03020900708060,4059091,2
03020900708066,4059091,2
03020900708079,4059091,2
03020900708097,4059091,2
03020900708115,4059091,2
03020900708133,4059091,2
03020900708151,4059091,2
03020900708169,4059091,2
03030100204001,4033183,6
03030100204002,4033183,6
03030100204010,4033183,6
03030100204021,4033183,6
03030100204030,4033183,6
03030100204034,4033183,6
03030100204040,4033183,6
03030100204049,4033183,6
03030100204058,4033183,6
03030100204067,4033183,6
03030100204076,4033183,6
03030100204085,4033183,6
03030200108012,4041835,6
03030200108025,4041835,6
03030200108038,4041835,6
03030200108051,4041835,6
03030200108064,4041835,6
03030200108077,4041835,6
03030200108090,4041835,6
03030200108103,4041835,6
03030200108116,4041835,6
03030200108129,4041835,6
03030200108142,4041835,6
03030200108155,4041835,6
03030202104009,4046157,6
03030202104016,4046157,6
03030202104032,4046157,6
03030202104047,4046157,6
03030202104063,4046157,6
03030202104078,4046157,6
03030202104093,4046157,6
03030202104108,4046157,6
03030202104114,4046157,6
03030202104127,4046157,6
03030202104143,4046157,6
03030202104162,4046157,6
03030302404006,4046152,6
03030302404022,4046152,6
03030302404037,4046152,6
03030302404054,4046152,6
03030302404069,4046152,6
03030302404085,4046152,6
03030302404095,4046152,6
03030302404105,4046152,6
03030302404121,4046152,6
03030302404138,4046152,6
03030302404153,4046152,6
03030302404171,4046152,6
03030400906010,4050469,5
03030400906012,4050469,5
03030400906051,4050469,5
03030400906059,4050469,5
03030400906077,4050469,5
03030400906098,4050469,5
03030400906110,4050469,5
03030400906122,4050469,5
03030400906134,4050469,5
03030400906149,4050469,5
03030400906161,4050469,5
03030400906174,4050469,5
03030501101002,4063428,5
03030501101023,4063428,5
03030501101044,4063428,5
03030501101051,4063428,5
03030501101065,4063428,5
03030501101072,4063428,5
03030501101081,4063428,5
03030501101087,4063428,5
03030501101108,4063428,5
03030501101123,4063428,5
03030501101130,4063428,5
03030501101193,4063428,5
03030701002003,4050473,7
03030701002022,4050473,7
03030701002040,4050473,7
03030701002043,4050473,7
03030701002062,4050473,7
03030701002081,4050473,7
03030701002100,4050473,7
03030701002101,4050473,7
03030701002120,4050473,7
03030701002138,4050473,7
03030701002156,4050473,7
03030701002174,4050473,7
03030801617003,4059116,3
03030801617018,4059116,3
03030801617033,4059116,3
03030801617047,4059116,3
03030801617056,4059116,3
03030801617061,4059116,3
03030801617076,4059116,3
03030801617088,4059116,3
03030801617101,4059116,3
03030801617115,4059116,3
03030801617127,4059116,3
03030801617151,4059116,3
03031001701004,4046149,6
03031001701022,4046149,6
03031001701040,4046149,6
03031001701045,4046149,6
03031001701062,4046149,6
03031001701081,4046149,6
03031001701099,4046149,6
03031001701100,4046149,6
03031001701118,4046149,6
03031001701139,4046149,6
03031001701157,4046149,6
03031001701176,4046149,6
03040301401004,4080712,6
03040301401014,4080712,6
03040301401019,4080712,6
03040301401027,4080712,6
03040301401035,4080712,6
03040301401050,4080712,6
03040301401065,4080712,6
03040301401080,4080712,6
03040301401095,4080712,6
03040301401110,4080712,6
03040301401125,4080712,6
03040301401140,4080712,6
03040600801004,4076398,6
03040600801016,4076398,6
03040600801028,4076398,6
03040600801041,4076398,6
03040600801053,4076398,6
03040600801054,4076398,6
03040600801065,4076398,6
03040600801079,4076398,6
03040600801090,4076398,6
03040600801092,4076398,6
03040600801104,4076398,6
03040600801118,4076398,6
03040901203004,4093677,6
03040901203016,4093677,6
03040901203028,4093677,6
03040901203040,4093677,6
03040901203052,4093677,6
03040901203065,4093677,6
03040901203077,4093677,6
03040901203090,4093677,6
03040901203102,4093677,6
03040901203116,4093677,6
03040901203134,4093677,6
03040901203150,4093677,6
03041100903003,4093667,6
03041100903015,4093667,6
03041100903028,4093667,6
03041100903042,4093667,6
03041100903055,4093667,6
03041100903068,4093667,6
03041100903081,4093667,6
03041100903095,4093667,6
03041100903118,4093667,6
03041100903121,4093667,6
03041100903137,4093667,6
03041100903160,4093667,6
03041200105014,4106625,5
03041200105028,4106625,5
03041200105042,4106625,5
03041200105056,4106625,5
03041200105070,4106625,5
03041200105084,4106625,5
03041200105098,4106625,5
03041200105112,4106625,5
03041200105126,4106625,5
03041200105140,4106625,5
03041200105154,4106625,5
03041200105168,4106625,5
03041402101006,4119590,6
03041402101025,4119590,6
03041402101043,4119590,6
03041402101062,4119590,6
03041402101080,4119590,6
03041402101089,4119590,6
03041402101102,4119590,6
03041402101124,4119590,6
03041402101146,4119590,6
03041402101147,4119590,6
03041402101167,4119590,6
03041402101187,4119590,6
03041600204003,4119583,6
03041600204014,4119583,6
03041600204025,4119583,6
03041600204044,4119583,6
03041600204062,4119583,6
03041600204080,4119583,6
03041600204097,4119583,6
03041600204100,4119583,6
03041600204119,4119583,6
03041600204137,4119583,6
03041600204156,4119583,6
03041600204175,4119583,6
03050101504004,4136867,5
03050101504012,4136867,5
03050101504026,4136867,5
03050101504047,4136867,5
03050101504069,4136867,5
03050101504090,4136867,5
03050101504111,4136867,5
03050101504132,4136867,5
03050101504153,4136867,5
03050101504159,4136867,5
03050101504175,4136867,5
03050101504196,4136867,5
03050400305002,4145510,6
03050400305015,4145510,6
03050400305021,4145510,6
03050400305036,4145510,6
03050400305051,4145510,6
03050400305066,4145510,6
03050400305081,4145510,6
03050400305096,4145510,6
03050400305111,4145510,6
03050400305126,4145510,6
03050400305141,4145510,6
03050400305170,4145510,6
03050701204006,4119598,6
03050701204018,4119598,6
03050701204024,4119598,6
03050701204042,4119598,6
03050701204043,4119598,6
03050701204061,4119598,6
03050701204079,4119598,6
03050701204097,4119598,6
03050701204115,4119598,6
03050701204133,4119598,6
03050701204151,4119598,6
03050701204169,4119598,6
03050900104011,4141195,5
03050900104027,4141195,5
03050900104043,4141195,5
03050900104059,4141195,5
03050900104075,4141195,5
03050900104091,4141195,5
03050900104107,4141195,5
03050900104123,4141195,5
03050900104139,4141195,5
03050900104155,4141195,5
03050900104171,4141195,5
03050900104187,4141195,5
03051100307001,4149833,6
03051100307021,4149833,6
03051100307040,4149833,6
03051100307063,4149833,6
03051100307082,4149833,6
03051100307102,4149833,6
03051100307108,4149833,6
03051100307126,4149833,6
03051100307144,4149833,6
03051100307166,4149833,6
03051100307184,4149833,6
03051100307224,4149833,6
03051300702003,4171434,4
03051300702017,4171434,4
03051300702024,4171434,4
03051300702038,4171434,4
03051300702045,4171434,4
03051300702066,4171434,4
03051300702087,4171434,4
03051300702108,4171434,4
03051300702129,4171434,4
03051300702150,4171434,4
03051300702171,4171434,4
03051300702192,4171434,4
03051500703002,4167117,6
03051500703020,4167117,6
03051500703038,4167117,6
03051500703056,4167117,6
03051500703072,4167117,6
03051500703075,4167117,6
03051500703084,4167117,6
03051500703100,4167117,6
03051500703118,4167117,6
03051500703136,4167117,6
03051500703154,4167117,6
03051500703172,4167117,6
03052100808003,4141191,6
03052100808020,4141191,6
03052100808035,4141191,6
03052100808048,4141191,6
03052100808053,4141191,6
03052100808069,4141191,6
03052100808085,4141191,6
03052100808100,4141191,6
03052100808109,4141191,6
03052100808117,4141191,6
03052100808133,4141191,6
03052100808149,4141191,6
03060202603002,4102296,6
03060202603012,4102296,6
03060202603017,4102296,6
03060202603031,4102296,6
03060202603033,4102296,6
03060202603048,4102296,6
03060202603063,4102296,6
03060202603078,4102296,6
03060202603093,4102296,6
03060202603108,4102296,6
03060202603123,4102296,6
03060202603138,4102296,6
03060402001001,4102299,5
03060402001013,4102299,5
03060402001019,4102299,5
03060402001031,4102299,5
03060402001037,4102299,5
03060402001055,4102299,5
03060402001073,4102299,5
03060402001091,4102299,5
03060402001109,4102299,5
03060402001127,4102299,5
03060402001145,4102299,5
03060402001163,4102299,5
03060602103004,4123898,5
03060602103022,4123898,5
03060602103036,4123898,5
03060602103041,4123898,5
03060602103059,4123898,5
03060602103077,4123898,5
03060602103097,4123898,5
03060602103104,4123898,5
03060602103117,4123898,5
03060602103135,4123898,5
03060602103154,4123898,5
03060602103172,4123898,5
03060901807004,4128210,5
03060901807019,4128210,5
03060901807040,4128210,5
03060901807043,4128210,5
03060901807065,4128210,5
03060901807074,4128210,5
03060901807081,4128210,5
03060901807096,4128210,5
03060901807113,4128210,5
03060901807128,4128210,5
03060901807143,4128210,5
03060901807159,4128210,5
03061102207003,4149812,6
03061102207013,4149812,6
03061102207018,4149812,6
03061102207033,4149812,6
03061102207048,4149812,6
03061102207063,4149812,6
03061102207093,4149812,6
03061102207108,4149812,6
03061102207123,4149812,6
03061102207124,4149812,6
03061102207139,4149812,6
03061400105012,4123900,5
03061400105024,4123900,5
03061400105048,4123900,5
03061400105060,4123900,5
03061400105072,4123900,5
03061400105084,4123900,5
03061400105108,4123900,5
03061400105120,4123900,5
03061400105132,4123900,5
03061400105144,4123900,5
03061601207001,4119573,6
03061601207013,4119573,6
03061601207019,4119573,6
03061601207037,4119573,6
03061601207055,4119573,6
03061601207073,4119573,6
03061601207091,4119573,6
03061601207109,4119573,6
03061601207121,4119573,6
03061601207145,4119573,6
03061601207152,4119573,6
03061601207164,4119573,6
03070101406004,4063405,4
03070101406016,4063405,4
03070101406022,4063405,4
03070101406040,4063405,4
03070101406058,4063405,4
03070101406076,4063405,4
03070101406094,4063405,4
03070101406112,4063405,4
03070101406130,4063405,4
03070101406142,4063405,4
03070101406149,4063405,4
03070101406167,4063405,4
03070300105002,4076369,6
03070300105020,4076369,6
03070300105027,4076369,6
03070300105040,4076369,6
03070300105044,4076369,6
03070300105059,4076369,6
03070300105077,4076369,6
03070300105095,4076369,6
03070300105113,4076369,6
03070300105131,4076369,6
03070300105149,4076369,6
03070300105167,4076369,6
03070401302003,4076364,2
03070401302017,4076364,2
03070401302024,4076364,2
03070401302038,4076364,2
03070401302045,4076364,2
03070401302066,4076364,2
03070401302087,4076364,2
03070401302108,4076364,2
03070401302129,4076364,2
03070401302150,4076364,2
03070401302171,4076364,2
03070401302192,4076364,2
03070500105002,4097966,6
03070500105015,4097966,6
03070500105028,4097966,6
03070500105041,4097966,6
03070500105054,4097966,6
03070500105067,4097966,6
03070500105080,4097966,6
03070500105093,4097966,6
03070500105106,4097966,6
03070500105119,4097966,6
03070500105132,4097966,6
03070500105145,4097966,6
03070502405003,4106606,5
03070502405017,4106606,5
03070502405024,4106606,5
