varCode,varLabel,svyCode,fName
soil11,Workability (constraining field management),TZA-NPS-08,HH.Geovariables_Y1.dta
crops01,Avg 12-month total rainfall(mm) for July-June,TZA-NPS-08,HH.Geovariables_Y1.dta
crops02,Avg total rainfall in wettest quarter(mm) within 12-month periods from July-June,TZA-NPS-08,HH.Geovariables_Y1.dta
crops03,"Avg start of wettest quarter in dekads 1-36, where first week of July =1",TZA-NPS-08,HH.Geovariables_Y1.dta
crops04,"12-month total rainfall (mm) in July-June, starting July 2007",TZA-NPS-08,HH.Geovariables_Y1.dta
crops05,Total rainfall in wettest quarter(mm) within 12-month periods starting July 2007,TZA-NPS-08,HH.Geovariables_Y1.dta
crops06,"Start of wettest quarter in dekads 1-36, where first week of July 2007 =1",TZA-NPS-08,HH.Geovariables_Y1.dta
crops07,"12-month total rainfall (mm) in July-June, starting July 2008",TZA-NPS-08,HH.Geovariables_Y1.dta
crops08,Total rainfall in wettest quarter (mm) within 12-month period starting July 2008,TZA-NPS-08,HH.Geovariables_Y1.dta
crops09,"Start of wettest quarter in dekads 1-36, where first week of July 2008 =1",TZA-NPS-08,HH.Geovariables_Y1.dta
crops10,Avg change in greenness(integral of daily EVI values)w/in primary growing season,TZA-NPS-08,HH.Geovariables_Y1.dta
crops11,"Avg onset of greenness increase in day of year 1-356,where 7/4=1,avg by district",TZA-NPS-08,HH.Geovariables_Y1.dta
crops12,"Avg onset of greenness decrease in day of year 1-356,where 7/4=1,avg by district",TZA-NPS-08,HH.Geovariables_Y1.dta
crops13,"Avg change in greenness(integral of daily EVI values)w/in 2007 growing season,av",TZA-NPS-08,HH.Geovariables_Y1.dta
crops14,"Onset of greenness increase in day of year 1-356,starting 7/4/07,avg by district",TZA-NPS-08,HH.Geovariables_Y1.dta
crops15,"Onset of greenness decrease in day of year 1-356,starting 7/4/07,avg by district",TZA-NPS-08,HH.Geovariables_Y1.dta
crops16,"Avg change in greenness(integral of daily EVI values)w/in 2008 growing season,av",TZA-NPS-08,HH.Geovariables_Y1.dta
crops17,"Onset of greenness increase in day of year 1-356,starting 7/4/08,avg by district",TZA-NPS-08,HH.Geovariables_Y1.dta
crops18,"Onset of greenness decrease in day of year 1-356,starting 7/4/08,avg by district",TZA-NPS-08,HH.Geovariables_Y1.dta
crops19,Avg EVI value at peak of greenness w/in growing season(incl Vuli & Masika),TZA-NPS-08,HH.Geovariables_Y1.dta
crops20,"EVI value at peak of greenness within growing season,starting 7/4/07",TZA-NPS-08,HH.Geovariables_Y1.dta
crops21,"EVI value at peak of greenness within growing season,starting 7/4/08",TZA-NPS-08,HH.Geovariables_Y1.dta
hhid,Unique HH Identifier,TZA-NPS-08,Plot.Geovariables_Y1_revised2.dta
plotnum,Plot ID,TZA-NPS-08,Plot.Geovariables_Y1_revised2.dta
dist01,Plot Distance in (KMs) to HH,TZA-NPS-08,Plot.Geovariables_Y1_revised2.dta
hhid,Unique HH Identifier,TZA-NPS-08,SEC_1_ALL.dta
rosterid,ID,TZA-NPS-08,SEC_1_ALL.dta
s1q2,s1q2: AGE,TZA-NPS-08,SEC_1_ALL.dta
s1q3,s1q3: SEX,TZA-NPS-08,SEC_1_ALL.dta
s1q4,s1q4: THE RESPONDENT OR RESPONDENTS TO THIS QUESTIONNAIRE,TZA-NPS-08,SEC_1_ALL.dta
hhid,Unique HH Identifier,TZA-NPS-08,SEC_10A.dta
animal,Type of animal,TZA-NPS-08,SEC_10A.dta
s10aq2,S10AQ2. Did this household own any [ANIMAL] in the last 12 months?,TZA-NPS-08,SEC_10A.dta
s10aq3,S10AQ3. Number of [ANIMAL] owned on October 1 2008,TZA-NPS-08,SEC_10A.dta
s10aq4_1,S10AQ4_1. Number of ANIMALs this household currently owns :Indigenous,TZA-NPS-08,SEC_10A.dta
s10aq4_2,S10AQ4_2. Number of ANIMALs this household currently owns :Improved Beef,TZA-NPS-08,SEC_10A.dta
s10aq4_3,S10AQ4_3. Number of ANIMALs this household currently owns :Improved Dairy,TZA-NPS-08,SEC_10A.dta
s10aq5_1,S10AQ5_1. Who is responsible for keeping [ANIMAL]?: person 1,TZA-NPS-08,SEC_10A.dta
s10aq5_2,S10AQ5_2. Who is responsible for keeping [ANIMAL]?: person 2,TZA-NPS-08,SEC_10A.dta
s10aq6,S10AQ6. ANIMALs born in the past 12 months (number),TZA-NPS-08,SEC_10A.dta
s10aq7,S10AQ7. Have you sold any [ANIMAL] alive in the past 12 months?,TZA-NPS-08,SEC_10A.dta
s10aq8,S10AQ8. ANIMALs sold alive in the past 12 months (number),TZA-NPS-08,SEC_10A.dta
s10aq9,S10AQ9. Total value of sales,TZA-NPS-08,SEC_10A.dta
s10aq10_1,S10AQ10_1. Where did you sell most [ANIMAL]:NETWORK ROSTERID1,TZA-NPS-08,SEC_10A.dta
s10aq10_2,S10AQ10_2. Where did you sell most [ANIMAL]:NETWORK ROSTERID2,TZA-NPS-08,SEC_10A.dta
s10aq11,S10AQ11. Did you slaughter any [ANIMAL] in the past 12 months?,TZA-NPS-08,SEC_10A.dta
s10aq12,S10AQ12. ANIMALs slaugthered in the past 12 months(number),TZA-NPS-08,SEC_10A.dta
s10aq13,S10AQ13. ANIMALs sold slaughtered (number),TZA-NPS-08,SEC_10A.dta
s10aq14,S10AQ14. Total value of the sold slaughtered [ANIMAL],TZA-NPS-08,SEC_10A.dta
s10aq15,S10AQ15. Did you hire labor to help you with the [ANIMAL] in the past 12 months?,TZA-NPS-08,SEC_10A.dta
s10aq16,S10AQ16. Total cost of labor for [ANIMAL] in the past 12 months,TZA-NPS-08,SEC_10A.dta
s10aq17,S10AQ17. Did you purchase any fodder for your [ANIMAL] in the past 12 months?,TZA-NPS-08,SEC_10A.dta
s10aq18,S10AQ18. Total cost of this fodder for [ANILMAL] in the past 12 months,TZA-NPS-08,SEC_10A.dta
s10aq19,S10AQ19. Have you lost any [ANIMAL] to DISEASE in the past 12 months?,TZA-NPS-08,SEC_10A.dta
s10aq20,S10AQ20. ANIMALs lost to DISEASE in the past 12 months,TZA-NPS-08,SEC_10A.dta
s10aq21,S10AQ21. Value of these [ANIMAL]s lost to disease,TZA-NPS-08,SEC_10A.dta
s10aq22,S10AQ22. Have you lost any [ANIMAL] to THEFT in the past 12 months?,TZA-NPS-08,SEC_10A.dta
s10aq23,S10AQ23. ANIMALs lost to THEFT in the past 12 months (number),TZA-NPS-08,SEC_10A.dta
s10aq24,S10AQ24. Value of these [ANIMAL]s lost to THEFT,TZA-NPS-08,SEC_10A.dta
s10aq25_1,S10AQ25_1. Diseases the [ANIMAL] suffered in the past 12 months:#1,TZA-NPS-08,SEC_10A.dta
s10aq25_2,S10AQ25_2. Diseases the [ANIMAL] suffered in the past 12 months:#2,TZA-NPS-08,SEC_10A.dta
s10aq25_3,S10AQ25_3. Diseases the [ANIMAL] suffered in the past 12 months:#3,TZA-NPS-08,SEC_10A.dta
s10aq25_4,S10AQ25_4. Diseases the [ANIMAL] suffered in the past 12 months:#4,TZA-NPS-08,SEC_10A.dta
s10aq26,S10AQ26. Are your [ANIMAL] vaccinated,TZA-NPS-08,SEC_10A.dta
s10aq27,S10AQ27. Where did you vaccinate [ANIMAL]?,TZA-NPS-08,SEC_10A.dta
s10aq28_1,S10AQ28_1. Against which diseases did you vaccinate your [ANIMAL]?:#1,TZA-NPS-08,SEC_10A.dta
s10aq28_2,S10AQ28_2. Against which diseases did you vaccinate your [ANIMAL]?:#2,TZA-NPS-08,SEC_10A.dta
s10aq28_3,S10AQ28_3. Against which diseases did you vaccinate your [ANIMAL]?:#3,TZA-NPS-08,SEC_10A.dta
s10aq28_4,S10AQ28_4. Against which diseases did you vaccinate your [ANIMAL]?:#4,TZA-NPS-08,SEC_10A.dta
hhid,Unique HH Identifier,TZA-NPS-08,SEC_10B.dta
lvstkprod,Livestock by-product,TZA-NPS-08,SEC_10B.dta
s10bq1,S10BQ1. Did your household produce any [PRODUCT] in the last 12 months?,TZA-NPS-08,SEC_10B.dta
s10bq2,S10BQ2. For how many months did your household produce any [PRODUCT]?,TZA-NPS-08,SEC_10B.dta
s10bq3_meas,S10BQ3_quantity. Average quantity of [PRODUCT] produced per month:quantity,TZA-NPS-08,SEC_10B.dta
s10bq3_meat,S10BQ3_unit. Average quantity of [PRODUCT] produced per month:unit,TZA-NPS-08,SEC_10B.dta
s10bq4,S10BQ. Did you sell any of the [PRODUCT] that you produced in the last 12 months,TZA-NPS-08,SEC_10B.dta
s10bq5_1,S10BQ. Quantity of PRODUCT produced sold in the last 12 months: quantity,TZA-NPS-08,SEC_10B.dta
s10bq5_2,S10BQ. Quantity of PRODUCT produced sold in the last 12 months: unit,TZA-NPS-08,SEC_10B.dta
s10bq6,S10BQ. Total value of sales of [PRODUCT] in the last 12 months,TZA-NPS-08,SEC_10B.dta
s10bq7_1,S10BQ. Where did you sell most [PRODUCT] that you sold? Network Rosterid1,TZA-NPS-08,SEC_10B.dta
s10bq7_2,S10BQ. Where did you sell most [PRODUCT] that you sold? Network Rosterid2,TZA-NPS-08,SEC_10B.dta
hhid,Unique HH Identifier,TZA-NPS-08,SEC_11_ALL.dta
impcode,Farm implements,TZA-NPS-08,SEC_11_ALL.dta
region,1.REGION,TZA-NPS-08,SEC_11_ALL.dta
district,2.DISTRICT,TZA-NPS-08,SEC_11_ALL.dta
ward,3.WARD,TZA-NPS-08,SEC_11_ALL.dta
locality,Locality,TZA-NPS-08,SEC_11_ALL.dta
ea,4.ENUMERATION AREA,TZA-NPS-08,SEC_11_ALL.dta
hhno,7.HOUSEHOLD NUMBER,TZA-NPS-08,SEC_11_ALL.dta
s11q1,S11Q1. How many [ITEM] does the household own?,TZA-NPS-08,SEC_11_ALL.dta
s11q2,S11Q2. Value of the [ITEM] if sold,TZA-NPS-08,SEC_11_ALL.dta
s11q3,S11Q3. Did the household own [ITEM] during last_agric_season?,TZA-NPS-08,SEC_11_ALL.dta
s11q4,S11Q4. Did you use [ITEM] in last_agric_season?,TZA-NPS-08,SEC_11_ALL.dta
s11q5,S11Q5. Reason for not using [ITEM],TZA-NPS-08,SEC_11_ALL.dta
s11q6,S11Q6. Did your household rent or borrow any [ITEM] for use in last_agric_season,TZA-NPS-08,SEC_11_ALL.dta
s11q7,S11Q7. ITEM's rented or borrowed in last_agric_season,TZA-NPS-08,SEC_11_ALL.dta
s11q8_1,S11Q8_1. Where did your household rent or borrow [ITEM] from?:Network Rosterid1,TZA-NPS-08,SEC_11_ALL.dta
s11q8_2,S11Q8_2. Where did your household rent or borrow [ITEM] from?:Network Rosterid2,TZA-NPS-08,SEC_11_ALL.dta
s11q9,S11Q9. Amount paid to rent or borrow [ITEM],TZA-NPS-08,SEC_11_ALL.dta
hhid,Unique HH Identifier,TZA-NPS-08,SEC_12A.dta
itemcode,Fishery and aquaculture Items,TZA-NPS-08,SEC_12A.dta
s12q2,"S12Q2. Did you own part or all of any of the following fishing equipment, in the",TZA-NPS-08,SEC_12A.dta
s12q3,S12Q3. how much could you get for IT/them if you sell ITEM X?,TZA-NPS-08,SEC_12A.dta
s12q4,S12Q4. Did you sell any ITEM (or your share of it) in the last 12 months?,TZA-NPS-08,SEC_12A.dta
s12q5,S12Q5. Amount received for the sale of the(se) [ITEM] or your share of it/them,TZA-NPS-08,SEC_12A.dta
s12q6,S12Q6. Did you purchase any ITEM in the past 12 months?,TZA-NPS-08,SEC_12A.dta
s12q7,S12Q7. Cost of the purchase of ITEM,TZA-NPS-08,SEC_12A.dta
s12q8,S12Q8. Expenses to repair this ITEM in the past 12 months?,TZA-NPS-08,SEC_12A.dta
s12q9,S12Q9. Amount spent repairing ITEM in the past 12 months,TZA-NPS-08,SEC_12A.dta
hhid,Unique HH Identifier,TZA-NPS-08,SEC_12B.dta
itemcode,Fishery and aquaculture Items,TZA-NPS-08,SEC_12B.dta
s12q10,"S12Q10. Did your household do any fishing, in the past 12 months (since …)?",TZA-NPS-08,SEC_12B.dta
s12q11,S12Q11. No. of months your household engaged in [METHOD],TZA-NPS-08,SEC_12B.dta
s12q12,S12Q12. Days per week your household fished using [METHOD] on average,TZA-NPS-08,SEC_12B.dta
s12q13,S12Q13. Average quantity of your daily catch using [METHOD] during those months?,TZA-NPS-08,SEC_12B.dta
s12q14,"S12Q14. KGs sold of the daily catch using METHOD as fresh,smoked,or dried fish",TZA-NPS-08,SEC_12B.dta
s12q15,S12Q15. Amount received per day for sale of fresh fish on days you used METHOD,TZA-NPS-08,SEC_12B.dta
hhid,Unique HH Identifier,TZA-NPS-08,SEC_12C.dta
areacode,Area Code,TZA-NPS-08,SEC_12C.dta
s12q16,S12Q16. Where does your household undertake this fishing?,TZA-NPS-08,SEC_12C.dta
s12q17,S12Q17. Owner of the location,TZA-NPS-08,SEC_12C.dta
s12q18,S12Q18. Source of fingerling,TZA-NPS-08,SEC_12C.dta
s12q19,S12Q19. Times per year the location is stocked?,TZA-NPS-08,SEC_12C.dta
s12q20_1,S12Q20_1. Who does your household sell the fish from this location to: ID 1,TZA-NPS-08,SEC_12C.dta
s12q20_2,S12Q20_2. Who does your household sell the fish from this location to: ID 2,TZA-NPS-08,SEC_12C.dta
hhid,Unique HH Identifier,TZA-NPS-08,SEC_12D.dta
itemcode,item in input list,TZA-NPS-08,SEC_12D.dta
s12q24_q27,S12Q24/Q27. Number of months your household purchased ITEM for fishing activitie,TZA-NPS-08,SEC_12D.dta
s12q25_q28,S12Q25/Q28. Amount spent by your household on [ITEM] per month,TZA-NPS-08,SEC_12D.dta
s12q26,S12Q26. No. of mandays covered by this payment in the average month,TZA-NPS-08,SEC_12D.dta
hhid,Unique HH Identifier,TZA-NPS-08,SEC_13A.dta
source,Source of Advice,TZA-NPS-08,SEC_13A.dta
s13q1,S13Q1. Did you receive advice for your agricultural/livestock activities from..?,TZA-NPS-08,SEC_13A.dta
s13q2_a,S13Q2A. Advice received from SOURCE about Agricultural production?,TZA-NPS-08,SEC_13A.dta
s13q2_b,S13Q2B. Advice received from SOURCE about Agro-processing,TZA-NPS-08,SEC_13A.dta
s13q2_c,S13Q2C. Advice received from SOURCE about Marketing,TZA-NPS-08,SEC_13A.dta
s13q2_d,S13Q2D. Advice received from SOURCE about Fishing Production,TZA-NPS-08,SEC_13A.dta
s13q2_e,S13Q2E. Advice received from SOURCE about Livestock Production,TZA-NPS-08,SEC_13A.dta
s13q2_f,S13Q2F. Advice received from SOURCE about Prevention of Livestock diseases,TZA-NPS-08,SEC_13A.dta
s13q3,S13Q3. How would you rate the advice received?,TZA-NPS-08,SEC_13A.dta
s13q4,S13Q4. Did you pay anything in order to receive the advice?,TZA-NPS-08,SEC_13A.dta
s13q5,S13Q5. How much did you pay?,TZA-NPS-08,SEC_13A.dta
s13q6,S13Q6. Number of visits someone from [SOURCE] did to your farm,TZA-NPS-08,SEC_13A.dta
hhid,Unique HH Identifier,TZA-NPS-08,SEC_13B.dta
itemcode,Source of Information,TZA-NPS-08,SEC_13B.dta
s13q7,S13Q7. Did your household receive information about agric. prices from SOURCE?,TZA-NPS-08,SEC_13B.dta
s13q8,S13Q8. Did you pay anything in order to receive the advice?,TZA-NPS-08,SEC_13B.dta
s13q9,S13Q9. How much did you pay?,TZA-NPS-08,SEC_13B.dta
hhid,Unique HH Identifier,TZA-NPS-08,SEC_2A.dta
plotnum,PLOT NUMBER,TZA-NPS-08,SEC_2A.dta
s2aq4,s2aq4. AREA (ACRES),TZA-NPS-08,SEC_2A.dta
area,GPS measured area (acres),TZA-NPS-08,SEC_2A.dta
hhid,Unique HH Identifier,TZA-NPS-08,SEC_2B.dta
plotnum,PLOT NUMBER,TZA-NPS-08,SEC_2B.dta
s2bq9,s2bq9. AREA (ACRES),TZA-NPS-08,SEC_2B.dta
area,GPS measured area (acres),TZA-NPS-08,SEC_2B.dta
hhid,Unique HH Identifier,TZA-NPS-08,SEC_3A.dta
plotnum,PLOT NUMBER,TZA-NPS-08,SEC_3A.dta
s3aq2_1,S3AQ2_1. Distance from [PLOT] to: HOME KM,TZA-NPS-08,SEC_3A.dta
s3aq2_2,S3AQ2_2. Distance from [PLOT] to: ROAD KM,TZA-NPS-08,SEC_3A.dta
s3aq2_3,S3AQ2_3. Distance from [PLOT] to: MARKET KM,TZA-NPS-08,SEC_3A.dta
s3aq3,S3AQ3. Use of this plot during the LongRainy08,TZA-NPS-08,SEC_3A.dta
s3aq4,S3AQ4. Total income from renting out this plot during the LongRainy08,TZA-NPS-08,SEC_3A.dta
s3aq5name,S3AQ5name. Main crop cultivated on this plot in LongRainy08?: NAME,TZA-NPS-08,SEC_3A.dta
s3aq5code,S3AQ5code. Main crop cultivated on this plot in LongRainy08?: CODE,TZA-NPS-08,SEC_3A.dta
s3aq6_1,S3AQ6_1. Who decided what to plant on this plot in LongRainy08?: ID #1,TZA-NPS-08,SEC_3A.dta
s3aq6_2,S3AQ6_2. Who decided what to plant on this plot in LongRainy08?: ID #2,TZA-NPS-08,SEC_3A.dta
s3aq6_3,S3AQ6_3. Who decided what to plant on this plot in LongRainy08?: ID #3,TZA-NPS-08,SEC_3A.dta
s3aq6_nr,S3AQ6_nr. Who decided what to plant on this plot in LongRainy08?: NETWORK ROSTER,TZA-NPS-08,SEC_3A.dta
s3aq7,S3AQ7. What was the soil type of this plot?,TZA-NPS-08,SEC_3A.dta
s3aq8,S3AQ8. What was the soil quality of this plot?,TZA-NPS-08,SEC_3A.dta
s3aq9,S3AQ9. How do you know the quality of the soil?,TZA-NPS-08,SEC_3A.dta
s3aq10,S3AQ10. Problems with erosion on this plot in LongRainy08?,TZA-NPS-08,SEC_3A.dta
s3aq11,S3AQ11. Cause of these erosion problems,TZA-NPS-08,SEC_3A.dta
s3aq12,S3AQ12. Erosion control/water harvesting facility on this plot in LongRainy08?,TZA-NPS-08,SEC_3A.dta
s3aq13_1,S3AQ13. Type of erosion control/water harvesting facility was on this plot? 1st,TZA-NPS-08,SEC_3A.dta
s3aq13_2,S3AQ13. Type of erosion control/water harvesting facility was on this plot? 2nd,TZA-NPS-08,SEC_3A.dta
s3aq14,S3AQ14. How steep is the slope of this plot?,TZA-NPS-08,SEC_3A.dta
s3aq15,S3AQ15. Was this plot irrigated in LongRainy08?,TZA-NPS-08,SEC_3A.dta
s3aq16,S3AQ16. Type of irrigation,TZA-NPS-08,SEC_3A.dta
s3aq17,S3AQ17. Method of obtaining water,TZA-NPS-08,SEC_3A.dta
s3aq18,S3AQ18. Source of water,TZA-NPS-08,SEC_3A.dta
s3aq19,S3AQ19. Most recent year in which the plot was left fallow,TZA-NPS-08,SEC_3A.dta
s3aq20,S3AQ20. Consecutive years this plot was left fallow this last time,TZA-NPS-08,SEC_3A.dta
s3aq21,S3AQ21. Value of this plot if it were sold today?,TZA-NPS-08,SEC_3A.dta
s3aq22,S3AQ22. Ownership status of this plot in LongRainy08?,TZA-NPS-08,SEC_3A.dta
s3aq23_1,S3AQ23. With whom do you co-own this plot? NETWORK ROSTER ID 1,TZA-NPS-08,SEC_3A.dta
s3aq23_2,S3AQ23. With whom do you co-own this plot? NETWORK ROSTER ID 2,TZA-NPS-08,SEC_3A.dta
s3aq24,S3AQ24. Share of the output that your household gets,TZA-NPS-08,SEC_3A.dta
s3aq25,S3AQ25. Did anyone in the household have a title for this land?,TZA-NPS-08,SEC_3A.dta
s3aq26,S3AQ26. Type of title your household had for this plot?,TZA-NPS-08,SEC_3A.dta
s3aq27_1,S3AQ27. Who in the household owns this plot?: ID #1,TZA-NPS-08,SEC_3A.dta
s3aq27_2,S3AQ27. Who in the household owns this plot?: ID #2,TZA-NPS-08,SEC_3A.dta
s3aq28,S3AQ28. Owner/household had the right to sell this plot or use as collateral?,TZA-NPS-08,SEC_3A.dta
s3aq29_1,S3AQ29. With whom do you co-rent this plot? NETWORK ROSTER ID 1,TZA-NPS-08,SEC_3A.dta
s3aq29_2,S3AQ29. With whom do you co-rent this plot? NETWORK ROSTER ID 2,TZA-NPS-08,SEC_3A.dta
s3aq30,S3AQ30. How much did you pay to the owner for the use of this land in LongRainy0,TZA-NPS-08,SEC_3A.dta
s3aq31_idadi,S3AQ31. Period of time this payment covered: No. UNITS,TZA-NPS-08,SEC_3A.dta
s3aq31_meas,S3AQ31. Period of time this payment covered: UNIT,TZA-NPS-08,SEC_3A.dta
s3aq32,"S3AQ32. Share of output from this plot you gave as rent, in LongRainy08?",TZA-NPS-08,SEC_3A.dta
s3aq33_1,S3AQ33. Who owns the plot? NETWORK ROSTER ID 1,TZA-NPS-08,SEC_3A.dta
s3aq33_2,S3AQ33. Who owns the plot? NETWORK ROSTER ID 2,TZA-NPS-08,SEC_3A.dta
s3aq34,S3AQ34. In which year was the plot acquired?,TZA-NPS-08,SEC_3A.dta
s3aq35,S3AQ35. Comfortable leaving this plot uncultivated for several months without be,TZA-NPS-08,SEC_3A.dta
s3aq36,S3AQ36. DID THE HOUSEHOLD CULTIVATE THIS PLOT IN LongRainy08?,TZA-NPS-08,SEC_3A.dta
s3aq37,S3AQ37. Did you use any ORGANIC FERTILIZER on [PLOT] in LongRainy08?,TZA-NPS-08,SEC_3A.dta
s3aq38,S3AQ38. Quantity of organic fertilizer used?,TZA-NPS-08,SEC_3A.dta
s3aq39,S3AQ39. Was any of this purchased?,TZA-NPS-08,SEC_3A.dta
s3aq40,S3AQ40. How much was purchased?,TZA-NPS-08,SEC_3A.dta
s3aq41,S3AQ41. Total value of organic fertilizer purchased,TZA-NPS-08,SEC_3A.dta
s3aq42_1,S3AQ42_1. Where did you buy most of the organic fertilizer?:Network rosterid 1,TZA-NPS-08,SEC_3A.dta
s3aq42_2,S3AQ42_2. Where did you buy most of the organic fertilizer?:Network rosterid 2,TZA-NPS-08,SEC_3A.dta
s3aq43,S3AQ43. Did you use any INORGANIC FERTILIZER on [PLOT] in LongRainy08?,TZA-NPS-08,SEC_3A.dta
s3aq44,S3AQ44. What type of INORGANIC FERTILIZER did you use?,TZA-NPS-08,SEC_3A.dta
s3aq45,S3AQ45. Quantity of inorganic fertilizer used,TZA-NPS-08,SEC_3A.dta
s3aq46,S3AQ46. Total value of inorganic fertilizer purchased,TZA-NPS-08,SEC_3A.dta
s3aq47,S3AQ47. Why did you choose to use this specific type of inorganic fertilizer?,TZA-NPS-08,SEC_3A.dta
s3aq48_1,S3AQ48_1. Where did you buy most of the INORGANIC fertilizer?: NetworkRosterid1,TZA-NPS-08,SEC_3A.dta
s3aq48_2,S3AQ48_2. Where did you buy most of the INORGANIC fertilizer?: NetworkRosterid2,TZA-NPS-08,SEC_3A.dta
s3aq49,S3AQ49. Did you use any pesticide/ herbicide on [PLOT] in LongRainy08?,TZA-NPS-08,SEC_3A.dta
s3aq50,S3AQ50. What type of pesticide/herbicide did you apply?,TZA-NPS-08,SEC_3A.dta
s3aq51_amount,S3AQ51. Quantity of this pesticide/herbicide used: amount,TZA-NPS-08,SEC_3A.dta
s3aq51_measure,S3AQ51. Quantity of this pesticide/herbicide used: unit,TZA-NPS-08,SEC_3A.dta
s3aq52,S3AQ52. Total value of pesticides/herbicides purchased?,TZA-NPS-08,SEC_3A.dta
s3aq53,S3AQ53. Why did you choose to use this specific type of pesticide/herbicide?,TZA-NPS-08,SEC_3A.dta
s3aq54_1,S3AQ54_1. Where did you buy most of the pesticides/ herbicides?: Network rosteri,TZA-NPS-08,SEC_3A.dta
s3aq54_2,S3AQ54_2. Where did you buy most of the pesticides/ herbicides?: Network rosteri,TZA-NPS-08,SEC_3A.dta
s3aq55,S3AQ55. Seeds_fertilizers_pesticides_herbicides received on credit to be paid la,TZA-NPS-08,SEC_3A.dta
s3aq56_1,S3AQ56_1. Types of input you received on credit #1,TZA-NPS-08,SEC_3A.dta
s3aq56_2,S3AQ56_2. Types of input you received on credit #2,TZA-NPS-08,SEC_3A.dta
s3aq56_3,S3AQ56_3. Types of input you received on credit #3,TZA-NPS-08,SEC_3A.dta
s3aq56_4,S3AQ56_4. Types of input you received on credit #4,TZA-NPS-08,SEC_3A.dta
s3aq57,S3AQ57. How much did you pay up front for these inputs?,TZA-NPS-08,SEC_3A.dta
s3aq58,S3AQ58. How much did you repay in cash later on for the inputs?,TZA-NPS-08,SEC_3A.dta
s3aq59_1,S3AQ59_1. How much did you repay in kind later on for the inputs?: QUANTITY,TZA-NPS-08,SEC_3A.dta
s3aq59_2,S3AQ59_2. How much did you repay in kind later on for the inputs?: CODE,TZA-NPS-08,SEC_3A.dta
s3aq60_1,S3AQ60_1. From whom did you receive these inputs on credit? Network rosterid 1,TZA-NPS-08,SEC_3A.dta
s3aq60_2,S3AQ60_2. From whom did you receive these inputs on credit? Network rosterid 2,TZA-NPS-08,SEC_3A.dta
s3aq61_id1,S3AQ61. Days spent on Land preparation and planting during the LongRainy08: id1,TZA-NPS-08,SEC_3A.dta
s3aq61_1,S3AQ61. Days spent on Land preparation and planting during the LongRainy08: days,TZA-NPS-08,SEC_3A.dta
s3aq61_id2,S3AQ61. Days spent on Land preparation and planting during the LongRainy08: id2,TZA-NPS-08,SEC_3A.dta
s3aq61_2,S3AQ61. Days spent on Land preparation and planting during the LongRainy08: days,TZA-NPS-08,SEC_3A.dta
